SUNo|Cat|SumOfNoPieces
SU2037|Bl|1.00
SU2037|Co|1.00
SU2037|De|3.00
SU2041|De|1.00
SU2042|Co|1.00
SU2050|De|2.00
SU2052|De|1.00
SU2053|De|1.00
SU2056|Co|2.00
SU2056|De|2.00
SU2057|De|1.00
SU2058|Bl|1.00
SU2060|GS|1.00
SU2064|De|1.00
SU2064|To|1.00
SU2066|Bl|1.00
SU2068|Co|1.00
SU2068|De|1.00
SU2069|Co|4.00
SU2070|De|1.00
SU2070|To|1.00
SU2078|De|1.00
SU2082|Bl|1.00
SU2083|GS|9.00
SU2085|De|1.00
SU2085|GS|3.00
SU2085|To|2.00
SU2096|Bl|1.00
SU2104|Co|4.00
SU2104|De|1.00
SU2104|GS|13.00
SU2105|Bl|1.00
SU2117|Bl|1.00
SU2131|Co|1.00
SU2131|De|1.00
SU2134|Bl|1.00
SU2134|Co|1.00
SU2135|Co|1.00
SU2138|De|1.00
SU2139|De|1.00
SU2148|De|1.00
SU2151|Co|1.00
SU2162|GS|1.00
SU2171|GS|2.00
SU2172|To|1.00
SU2173|To|2.00
SU2175|Bl|1.00
SU2176|Co|1.00
SU2176|De|1.00
SU2177|Co|1.00
SU2177|De|2.00
SU2178|Co|1.00
SU2180|De|2.00
SU2182|De|1.00
SU2187|Co|1.00
SU2187|De|4.00
SU2187|To|3.00
SU2189|GS|1.00
SU2190|Co|1.00
SU2304|GS|1.00
SU2384|De|1.00
SU2384|GS|2.00
SU2385|De|3.00
SU2385|GS|3.00
SU2385|To|2.00
SU2386|Bl|1.00
SU2386|Co|1.00
SU2386|GS|2.00
SU2387|Co|2.00
SU2387|De|1.00
SU2387|GS|1.00
SU2388|Co|1.00
SU2388|GS|1.00
SU2388|To|1.00
SU2389|Co|1.00
SU2389|To|1.00
SU2390|Co|1.00
SU2390|De|4.00
SU2601|Bl|4.00
SU2601|Co|4.00
SU2601|De|5.00
SU2602|Co|2.00
SU2603|De|2.00
SU2604|Co|1.00
SU2604|To|2.00
SU2605|Bl|1.00
SU2605|GS|1.00
SU2605|To|1.00
SU2606|Bl|1.00
SU2606|De|1.00
SU2607|Bl|1.00
SU2607|De|1.00
SU2611|GS|1.00
SU2632|Bl|2.00
SU2632|GS|1.00
SU2633|Bl|1.00
SU2634|To|1.00
SU2635|Co|1.00
SU2635|GS|1.00
SU2641|Co|1.00
SU2642|Bl|1.00
SU2642|GS|1.00
SU2643|Bl|1.00
SU2643|To|1.00
SU2655|Co|1.00
SU2901|Bl|1.00
SU2901|Co|2.00
