SUNo|Bl|Co|De|GS|To
SU2066|1.00||||
SU2068||1.00|||
SU2068|||1.00||
SU2069||4.00|||
SU2070|||1.00||
SU2070|||||1.00
SU2078|||1.00||
SU2082|1.00||||
SU2083||||9.00|
SU2085|||1.00||
SU2085||||3.00|
SU2085|||||2.00
SU2096|1.00||||
SU2104||4.00|||
SU2104|||1.00||
SU2104||||13.00|
SU2105|1.00||||
SU2117|1.00||||
SU2131||1.00|||
SU2131|||1.00||
SU2134|1.00||||
SU2134||1.00|||
SU2135||1.00|||
SU2138|||1.00||
SU2139|||1.00||
SU2148|||1.00||
SU2151||1.00|||
SU2162||||1.00|
SU2171||||2.00|
SU2172|||||1.00
SU2173|||||2.00
SU2175|1.00||||
SU2176||1.00|||
SU2176|||1.00||
SU2177||1.00|||
SU2177|||2.00||
SU2178||1.00|||
SU2180|||2.00||
SU2182|||1.00||
SU2187||1.00|||
SU2187|||4.00||
SU2187|||||3.00
SU2189||||1.00|
SU2190||1.00|||
SU2304||||1.00|
SU2384|||1.00||
SU2384||||2.00|
SU2385|||3.00||
SU2385||||3.00|
SU2385|||||2.00
SU2386|1.00||||
SU2386||1.00|||
SU2386||||2.00|
SU2387||2.00|||
SU2387|||1.00||
SU2387||||1.00|
SU2388||1.00|||
SU2388||||1.00|
SU2388|||||1.00
SU2389||1.00|||
SU2389|||||1.00
SU2390||1.00|||
SU2390|||4.00||
SU2601|4.00||||
SU2601||4.00|||
SU2601|||5.00||
SU2602||2.00|||
SU2603|||2.00||
SU2604||1.00|||
SU2604|||||2.00
SU2605|1.00||||
SU2605||||1.00|
SU2605|||||1.00
SU2606|1.00||||
SU2606|||1.00||
SU2607|1.00||||
SU2607|||1.00||
SU2611||||1.00|
SU2632|2.00||||
SU2632||||1.00|
SU2633|1.00||||
SU2634|||||1.00
SU2635||1.00|||
SU2635||||1.00|
SU2641||1.00|||
SU2642|1.00||||
SU2642||||1.00|
SU2643|1.00||||
SU2643|||||1.00
SU2655||1.00|||
SU2901|1.00||||
SU2901||2.00|||
SU2901|||1.00||
SU2901|||||1.00
SU2904||1.00|||
SU2904|||1.00||
SU2904|||||1.00
SU2905||||1.00|
SU2909||2.00|||
SU2909|||||1.00
SU2910|||1.00||
SU2911|||2.00||
SU2913||2.00|||
SU2913|||1.00||
SU2913|||||2.00
SU2914|2.00||||
SU2914||2.00|||
SU2914|||1.00||
SU2914||||1.00|
SU2915||4.00|||
SU2915|||5.00||
SU2919|2.00||||
SU2919||1.00|||
SU2919|||7.00||
SU2920|||||1.00
SU2921|||3.00||
SU2922||1.00|||
SU2924|||||1.00
SU2925|||1.00||
SU2925|||||1.00
SU2937||1.00|||
SU2942|1.00||||
SU2942||1.00|||
SU2942|||1.00||
SU2944|2.00||||
SU2944||4.00|||
SU2944|||1.00||
SU2945||2.00|||
SU2957||||1.00|
SU2960||1.00|||
SU2962||2.00|||
SU2962|||2.00||
SU2962|||||1.00
SU2964|||1.00||
SU2964|||||1.00
SU2965||1.00|||
SU3006||1.00|||
SU3008|||||1.00
SU3013|||||1.00
SU3016|||||1.00
SU3018||1.00|||
SU3018|||||1.00
SU3023|||||1.00
SU3026|1.00||||
SU3026||1.00|||
SU3026|||||2.00
SU3027||2.00|||
SU3027|||2.00||
SU3027|||||1.00
SU3028|1.00||||
SU3028|||2.00||
SU3032||1.00|||
SU3032|||||1.00
SU3033||1.00|||
SU3034||2.00|||
SU3034|||||2.00
SU3035|||||1.00
SU3036||1.00|||
SU3036||||1.00|
SU3036|||||3.00
SU3037|1.00||||
SU3037|||1.00||
SU3037|||||2.00
SU3038|1.00||||
SU3038||||1.00|
SU3039||1.00|||
SU3039|||1.00||
SU3039||||1.00|
SU3041||||1.00|
SU3045|1.00||||
SU3045||1.00|||
SU3045||||1.00|
SU3045|||||2.00
SU3046||||1.00|
SU3046|||||1.00
SU3047|||||2.00
SU3051|||||1.00
SU3053||||2.00|
SU3053|||||1.00
SU3055|||||1.00
SU3056||1.00|||
SU3056|||||2.00
SU3057|||||1.00
SU3058||1.00|||
SU3058|||2.00||
SU3058|||||1.00
SU3059|||3.00||
SU3059|||||1.00
SU3060||2.00|||
SU3060|||||1.00
SU3061|||||1.00
SU3062|||1.00||
SU3062||||1.00|
SU3063|||||1.00
SU3064||1.00|||
SU3067|1.00||||
SU3069||||1.00|
SU3070|||||1.00
SU3073||1.00|||
SU3073|||1.00||
SU3074|2.00||||
SU3074||1.00|||
SU3074|||||1.00
SU3079|||||1.00
SU3081|||||1.00
SU3083|||||1.00
SU3086||||1.00|
SU3087||3.00|||
SU3097||1.00|||
SU3097||||3.00|
SU3097|||||1.00
SU3098||||1.00|
SU3100|||1.00||
SU3100||||5.00|
SU3200||||1.00|
