SUNo|Cartridge
SU1640|4.03
SU1641|8.05
SU1642|4.38
SU1643|5.02
SU1644|2.52
SU1645|5.41
SU1646|2.51
SU1648|8.21
SU1649|5.60
SU1650|3.13
SU1651|29.23
SU1652|13.61
SU1653|5.20
SU1654|9.45
SU1655|8.35
SU1656|5.98
SU1657|4.08
SU1658|7.41
SU1659|1.74
SU1660|3.34
SU1661|1.43
SU1662|11.66
SU1663|9.86
SU1664|13.99
SU1665|3.67
SU1667|0.80
SU1668|0.67
SU1669|0.32
SU1670|0.39
SU1671|0.19
SU1676|5.95
SU1677|3.38
SU1678|1.95
SU1679|0.17
SU1681|0.24
SU1682|2.71
SU1683|37.93
SU1684|1.27
SU1685|0.91
SU1686|3.56
SU1687|3.71
SU1688|3.46
SU1689|3.16
SU1690|1.50
SU1691|0.49
SU1693|0.20
SU1696|2.11
SU1697|0.17
SU1698|0.24
SU1699|0.86
SU1702|0.52
SU1703|0.38
SU1704|0.80
SU1705|7.63
SU1707|2.05
SU1709|0.44
SU1710|0.59
SU1901|2.15
SU1902|0.10
SU1903|1.53
SU1904|1.00
SU1905|0.14
SU1906|1.40
SU1907|0.23
SU1908|0.22
SU1909|8.68
SU1910|0.12
SU1911|0.46
SU1920|0.13
SU2002|0.22
SU2011|0.15
SU2016|0.18
SU2017|0.07
SU2308|0.12
SU2354|0.39
SU2389|0.24
SU2390|0.17
SU2408|0.17
SU2411|0.38
SU2601|7.11
SU2602|15.42
SU2603|9.15
SU2604|1.24
SU2605|17.66
SU2606|9.05
SU2607|16.19
SU2608|5.89
SU2609|5.21
SU2610|1.04
SU2611|2.25
SU2612|1.31
SU2613|0.74
SU2616|1.81
SU2617|4.67
SU2618|9.36
SU2619|5.54
SU2620|1.28
SU2621|0.36
SU2622|0.11
SU2623|0.73
SU2624|8.83
SU2625|4.30
SU2626|14.11
SU2627|1.80
SU2628|0.98
SU2629|1.52
SU2630|0.62
SU2631|1.73
SU2632|3.01
SU2633|0.36
SU2635|0.42
SU2636|0.11
SU2637|6.65
SU2638|6.50
SU2639|18.57
SU2640|6.13
SU2641|4.04
SU2642|8.10
SU2643|38.88
SU2644|7.58
SU2645|6.74
SU2646|0.56
SU2647|2.02
SU2648|11.67
SU2649|5.21
SU2653|0.30
SU2654|0.33
SU2655|2.62
SU2656|1.40
SU2657|0.82
SU2660|1.52
SU2661|0.34
SU2662|0.26
SU2663|0.44
SU2664|0.24
SU2665|2.25
SU2666|0.33
SU2667|4.52
SU2668|0.19
SU2901|0.32
SU2902|1.48
SU2904|1.98
SU2911|2.58
SU2913|2.11
SU2914|5.44
SU2915|6.46
SU2916|1.79
SU2917|0.12
SU2919|3.37
SU2920|2.71
SU2921|0.49
SU2922|0.47
SU2923|0.12
SU2925|1.28
SU2928|0.76
SU2929|0.27
SU2930|2.49
SU2931|0.36
SU2932|0.13
SU2933|0.09
SU2939|0.13
SU2940|0.04
SU2944|0.19
SU2945|0.08
SU2946|1.04
SU2947|3.61
SU2948|0.12
SU2949|6.52
SU2950|0.72
SU2952|0.37
SU2953|1.16
SU2955|3.12
SU2957|0.38
SU2958|0.43
SU2959|0.41
SU2960|0.46
SU2961|0.96
SU2962|0.11
SU2964|10.30
SU2966|0.42
SU2967|0.65
SU3000|0.12
SU3002|0.06
SU3004|0.41
SU3005|0.17
SU3006|0.14
SU3007|0.15
SU3008|0.72
SU3009|0.83
SU3010|0.11
SU3011|3.43
SU3012|0.16
SU3016|0.18
SU3018|0.15
SU3020|0.09
SU3021|0.16
SU3024|0.04
SU3025|0.10
SU3030|0.15
SU3031|1.05
SU3032|0.10
SU3036|0.21
SU3037|0.23
SU3038|0.15
SU3039|0.29
SU3040|0.12
SU3041|0.13
SU3044|0.76
SU3045|1.04
SU3046|0.12
SU3048|0.03
SU3049|0.24
SU3051|0.11
SU3053|0.10
SU3054|0.10
SU3055|0.34
SU3056|0.64
SU3057|0.27
SU3061|0.06
SU3064|0.10
SU3065|0.24
SU3066|0.02
SU3068|0.07
SU3071|0.09
SU3075|0.40
SU3076|0.45
SU3077|1.16
SU3078|0.04
SU3079|0.18
SU3080|2.17
SU3081|1.47
SU3082|0.23
SU3083|0.78
SU3098|0.12
SU3099|0.08
