SUNo|GUNo|DenRatio|NLC|Slope|CL|A2
SU1055|GU1051|0.16|4.00|1.00|4.00|600.68
SU1057|GU1051|0.21|1.00|1.00|1.00|471.92
SU1058|GU1052|0.14|3.00|1.00|3.00|713.86
SU1059|GU1052|0.51|3.00|1.00|1.00|585.86
SU1060|GU1052|0.18|3.00|1.00|3.00|530.43
SU1061|GU1053|0.13|5.00|1.00|5.00|744.55
SU1062|GU1053|0.12|1.00|1.00|1.00|816.06
SU1063|GU1053|0.14|3.00|1.00|3.00|688.34
SU1064|GU1053|0.08|1.00|1.00|1.00|1162.54
SU1072|GU1058|0.27|3.00|2.00|2.00|544.44
SU1073|GU1058|0.14|1.00|2.00|1.00|678.31
SU1074|GU1059|0.14|4.00|2.00|4.00|710.47
SU1075|GU1059|0.09|2.00|2.00|2.00|1071.67
SU1076|GU1004|0.18|4.00|3.00|4.00|549.56
SU1077|GU1059|0.13|15.00|2.00|15.00|717.09
SU1078|GU1060|0.21|13.00|2.00|13.00|459.58
SU1093|GU1074|0.13|1.00|1.00|1.00|736.17
SU1094|GU1075|0.17|1.00|1.00|1.00|559.00
SU1098|GU0063|0.12|1.00|2.00|1.00|830.73
SU1099|GU9999||11.00|0.00|11.00|
SU1302|GU1301|0.04|2.00|3.00|2.00|2168.31
SU1303|GU1301|0.05|2.00|3.00|2.00|1858.80
SU1304|GU1001||1.00|2.00|1.00|
SU1305|GU1302|0.07|4.00|2.00|4.00|1384.03
SU1306|GU1302|0.03|7.00|2.00|7.00|2502.47
SU1307|GU1303|0.05|1.00|1.00|1.00|1827.22
SU1308|GU1304|0.08|3.00|1.00|3.00|1160.53
SU1309|GU1304|0.11|3.00|1.00|3.00|886.16
SU1316|GU1311|0.03|3.00|2.00|3.00|3275.18
SU1317|GU1010|0.18|2.00|1.00|2.00|552.62
SU1318|GU1010|0.10|2.00|1.00|2.00|924.20
SU1319|GU1010|0.18|1.00|1.00|1.00|527.86
SU1320|GU1011|0.08|1.00|1.00|1.00|1113.18
SU1321|GU1312|0.07|2.00|5.00|2.00|1318.48
SU1322|GU1313|0.04|3.00|2.00|3.00|2308.59
SU1326|GU1315|0.09|2.00|2.00|2.00|1087.39
SU1328|GU1317|0.03|4.00|10.00|4.00|3154.56
SU1329|GU1317|0.03|1.00|10.00|1.00|2907.00
SU1330|GU1318|0.04|7.00|5.00|7.00|2051.82
SU1344|GU1323|0.04|1.00|4.00|1.00|2085.40
SU1352|GU1324|0.06|2.00|5.00|2.00|1447.54
SU1372|GU1357|0.07|1.00|5.00|1.00|1340.02
SU1374|GU1359|1.38|1.00|2.00|1.00|72.07
SU1379|GU1364|0.06|1.00|20.00|1.00|1347.13
SU1380|GU1365|0.10|1.00|9.00|1.00|951.52
SU1381|GU1365|0.12|7.00|9.00|7.00|786.47
SU1382|GU1365|0.04|3.00|9.00|3.00|2200.44
SU1383|GU1365|0.13|2.00|9.00|2.00|726.98
SU1384|GU1366|0.06|1.00|4.00|1.00|1615.65
SU1601|GU1001||1.00|2.00|1.00|
SU1602|GU1601|0.07|2.00|3.00|2.00|1372.03
SU1604|GU1604|0.13|2.00|4.00|2.00|763.88
SU1605|GU1605|0.14|9.00|2.00|8.00|792.96
SU1607|GU1607|0.05|2.00|6.00|2.00|1971.00
SU1610|GU1613|0.11|1.00|5.00|1.00|869.72
SU1612|GU1618|0.06|2.00|2.00|2.00|1481.41
SU1613|GU1621|0.16|2.00|10.00|2.00|612.65
SU1623|GU1630|0.18|1.00|4.00|1.00|544.77
SU1624|GU1631|0.58|2.00|6.00|2.00|170.00
SU1625|GU1632|0.36|1.00|8.00|1.00|273.73
SU1626|GU1632|0.85|1.00|8.00|1.00|115.48
SU1627|GU1631|0.43|1.00|6.00|1.00|229.49
SU1629|GU1632|0.15|2.00|8.00|2.00|623.13
SU1630|GU1632|0.84|2.00|8.00|1.00|235.13
SU1631|GU1632|0.30|2.00|8.00|2.00|329.81
SU1632|GU1632|0.68|2.00|8.00|2.00|145.51
SU1633|GU1632|0.29|1.00|8.00|1.00|341.44
SU1634|GU1632|0.22|1.00|8.00|1.00|442.45
SU1638|GU1632|0.50|3.00|8.00|1.00|583.53
SU1639|GU1632|0.39|3.00|8.00|3.00|253.53
SU1640|GU1632|0.40|1.00|8.00|1.00|245.51
SU1642|GU1632|0.36|2.00|8.00|2.00|271.14
SU1646|GU1633|0.35|5.00|2.00|5.00|278.32
SU1647|GU1633|0.40|1.00|2.00|1.00|243.96
SU1648|GU1637|0.68|8.00|4.00|8.00|145.67
SU1649|GU1637|0.70|9.00|4.00|9.00|142.26
SU1650|GU1638|0.22|6.00|2.00|6.00|445.75
SU1651|GU1639|0.29|33.00|4.00|33.00|334.38
SU1652|GU1632|0.23|7.00|8.00|7.00|414.64
SU1653|GU1632|0.65|1.00|8.00|1.00|152.32
SU1654|GU1632|0.42|7.00|8.00|7.00|230.46
SU1655|GU1632|1.04|4.00|8.00|4.00|94.83
SU1656|GU1632|0.54|8.00|8.00|8.00|182.11
SU1657|GU1632|0.40|10.00|8.00|10.00|242.61
SU1658|GU1632|0.13|6.00|8.00|6.00|734.28
SU1659|GU1632|0.19|3.00|8.00|3.00|510.74
SU1660|GU1632|0.66|2.00|8.00|2.00|148.12
SU1661|GU1632|0.47|1.00|8.00|1.00|207.25
SU1662|GU1632|0.25|1.00|8.00|1.00|381.94
SU1666|GU1646|0.27|2.00|4.00|2.00|367.85
SU1667|GU1647|0.05|2.00|2.00|2.00|1856.68
SU1668|GU1648|0.09|5.00|2.00|5.00|1030.20
SU1669|GU1650|0.08|4.00|2.00|4.00|1235.59
SU1673|GU1654|0.26|3.00|4.00|3.00|381.73
SU1676|GU1656|0.10|9.00|4.00|9.00|988.01
