SUNo|GUNo|DenRatio|NLG|Slope|GL|A2
SU2187|GU2147|0.20|2.00|8.00|1.00|953.89
SU2189|GU2149|0.14|1.00|10.00|1.00|697.10
SU2384|GU2377|0.11|14.00|5.00|11.00|1133.11
SU2385|GU2378|0.09|5.00|5.00|5.00|1036.80
SU2386|GU2378|0.12|11.00|5.00|11.00|818.62
SU2387|GU2379|0.14|3.00|5.00|3.00|702.82
SU2388|GU2380|0.13|6.00|5.00|6.00|755.90
SU2389|GU2380|0.12|2.00|5.00|2.00|798.49
SU2390|GU2380|0.08|3.00|5.00|3.00|1153.39
SU2391|GU2380|0.10|2.00|5.00|2.00|964.80
SU2605|GU2602|0.40|1.00|1.00|1.00|248.99
SU2611|GU2615|0.75|1.00|0.50|1.00|132.94
SU2632|GU2655|0.50|2.00|1.00|2.00|199.25
SU2635|GU2662|0.14|1.00|1.00|1.00|704.22
SU2641|GU2668|0.50|1.00|2.00|1.00|197.68
SU2647|GU2676|0.67|1.00|3.00|1.00|148.12
SU2901|GU2901|0.06|3.00|16.00|3.00|1482.83
SU2905|GU2906|0.09|1.00|6.00|1.00|1016.05
SU2909|GU2910|0.08|1.00|2.00|1.00|1182.72
SU2914|GU2915|0.11|1.00|2.00|1.00|880.20
SU2927|GU2928|0.26|1.00|2.00|1.00|379.11
SU2954|GU2958|0.12|1.00|2.00|1.00|780.80
SU2961|GU2965|0.24|1.00|5.00|1.00|413.82
SU3036|GU3016|0.07|2.00|2.00|2.00|1413.80
SU3038|GU3017|0.07|1.00|1.00|1.00|1312.45
SU3039|GU3017|0.05|1.00|1.00|1.00|1692.40
SU3043|GU3017|0.07|2.00|1.00|1.00|2695.31
SU3046|GU3018|0.04|1.00|1.00|1.00|2399.01
SU3050|GU3025|0.03|1.00|8.50|1.00|2590.89
SU3051|GU3025|0.03|1.00|8.50|1.00|2662.07
SU3053|GU3026|0.08|3.00|2.00|2.00|1849.93
SU3069|GU3019|0.05|1.00|0.50|1.00|1890.14
SU3086|GU3033|0.06|1.00|6.50|1.00|1438.24
SU3097|GU3065|0.12|3.00|3.00|2.00|1236.80
SU3098|GU3064|0.12|1.00|5.00|1.00|768.71
SU3100|GU3065|0.28|9.00|3.00|6.00|517.92
