SUNo|Ar|CW|HU|La|LU|PO|Tr|TW|U|Un
SU0081|1.19|0.89|6.99||10.27|||6.10||
SU0082|1.94|1.23|6.36||4.24|||2.12||
SU0083|0.43|0.14|2.60||2.75||0.14|0.43||
SU0084|1.74|1.74|11.32||8.71|||9.29|0.58|
SU0085|1.33|1.11|5.12||3.11|||1.78||
SU0087|0.75|0.15|1.51||0.90|||||
SU0088|0.50|0.50|1.91||0.38|||1.27||
SU0089|2.07||4.45||0.59|||0.89||
SU0090|1.04||1.22||0.17|||0.17||
SU0091|1.52||3.30||1.52|||0.25||
SU0092|3.15||3.86||1.05|||0.35||
SU0093|2.68|0.38|3.45||1.91|||1.53||
SU0094|2.84|4.73|14.84||16.42||0.94|4.10||
SU0095|1.94|1.45|7.04||8.25||0.48|3.39||
SU0098|0.74|0.49|6.17||5.92|||1.97||
SU0099|0.14|0.77|1.13||2.61||0.07|0.14||0.07
SU0100|0.37|0.46|1.87||3.38|||0.18||
SU0103|||1.30||2.52|||0.38||
SU0300|0.49|1.48|3.47||1.98|||||
SU0301|1.01|10.12|11.13||6.07|||1.01||
SU0302|||1.18||0.84|||||
SU0304||0.05|0.10||0.10|||||
SU0305|||||0.09|||||
SU0306|0.13||||0.41|||||
SU0307||0.06||||||||
SU0308|||||0.11|||||
SU0309|0.46|0.04|0.59||0.64|||||
SU0310|0.12|0.38|||0.25|||||
SU0311|||||0.07|||||
SU0320|||||0.05|||||
SU0321|||0.05||0.11|||||
SU0322|||||0.20|||||
SU0323|||||0.08|||||
SU0324|||||0.03|||||
SU0326||0.08|0.16|||||0.08||
SU0327|||0.08|||||0.02||
SU0328|||||0.28|||||
SU0330|||||0.40|||||
SU0331||0.20||||||0.20||
SU0332|||||0.12|||||
SU0334||||||||0.07||
SU0336|||||0.12|||||
SU0337|||||0.08|||||
SU0338|||0.04|||||||
SU0340|||||0.27|||||
SU0341|||0.19|||||||
SU0342|||||0.14|||||
SU0344|0.83||1.66||6.67|||||
SU0345|||6.55||4.16|||1.19|1.19|0.59
SU0346|1.55||14.74||6.20||2.32|3.10||
SU0347|1.85|1.85|12.07||8.36|||4.64||
SU0348||1.51|28.81||12.13|||9.09||
SU0349|2.98|2.98|14.91||7.45||1.49|||
SU0350|0.78|0.78|22.64||0.78|||0.78||
SU0351|1.43|1.43|10.78||4.31|||3.59||
SU0352|1.97||5.92|||||||
SU0353|||0.15||0.07|||||
SU0354|||0.22||0.16|||0.33||
SU0355|24.01|14.19|44.75||29.47|||9.82||
SU0356|5.08|4.06|5.59||3.55|||||
SU0357|5.86|0.97|9.78||12.22|||2.44||
SU0358|9.26||15.75||12.97|||3.70||
SU0359|5.78||11.56||14.45|||1.44||
SU0360|5.12||7.68||7.68|||7.68||
SU0361|10.87||11.71||10.04||0.83|||0.83
SU0362|0.82||12.34||12.34|||3.29||
SU0363|6.94||14.74||13.88|||3.47||
SU0364|27.35|1.47|14.78||14.78|||||
SU0365|1.70|26.50|44.45||68.38|||5.12|11.96|
SU0366|2.35|8.65|29.88||28.31|||2.35|4.71|
SU0370|||||0.07|||||
SU0374||0.14||||||||
SU0382|||||0.08|||||
SU0385|2.73|0.45|0.45||1.36|||||
SU0386|||0.10||0.21|||||
SU0387|||0.11||1.29||||0.11|
SU0391|||0.05|||||||
SU0392|1.16|0.58|8.75||8.17|||1.75||
SU0393|0.31|0.94|4.70||7.21|0.31||2.50||
SU0394||0.31|5.37||1.26|||0.94||
SU0395|0.34||1.04||0.34|||0.52||
SU0601||0.21||||||||
SU0602|||0.09||0.09|||0.09||
SU0603||0.19||||||0.09||
SU0613||0.27|||0.54|||||
SU0614|24.56|42.99|99.49||62.64|||20.88||
SU0615|19.15|35.92|62.26||43.10||2.39|23.94||
SU0616|10.20|25.91|40.83||29.84||0.78|14.92||
SU0617|17.73|32.25|80.63||90.30|||14.51||
SU0618|7.00|3.50|23.94||18.68||1.75|11.09|1.16|
SU0619|6.21|15.52|73.91||32.30||1.86|22.98||
SU0620|5.70|1.90|6.02||4.75|||1.26||
SU0621|7.38|9.23|59.10||35.09|||7.38||
SU0622|12.61|36.57|190.42||51.70||3.78|17.65||
SU0623|1.95|9.79|19.59||27.43|||4.89||
SU0624|||4.35|||||||
SU0625||11.63|27.14||55.58|||2.58||
SU0626|9.47|11.57|47.37||32.63|||23.15||
SU0627|5.54|8.32|19.42||27.74|||13.87||
SU0628|4.11|2.74|12.35||13.72|||1.37||1.37
