SUNo|Ar|CW|HU|La|LU|PO|Tr|TW|U|Un
SU2141|9.04||12.53||||1.39||0.69|
SU2142|0.35|2.15|5.02||2.15|||1.43||
SU2143||0.31|||0.31|||||
SU2144|||||0.51|||0.12||
SU2145|||0.16|||||0.16||
SU2147||0.05|||0.22||0.05|||
SU2148||0.30|0.20||0.10|||||
SU2149|||||0.40|||||
SU2150|||||0.06|||||
SU2153||0.06|||0.06|||||
SU2154|||||0.11|||||
SU2160|12.19||1.26||1.68||1.68|1.26||
SU2161|4.96|0.90|3.15||||0.45|0.90||0.45
SU2162|3.40|1.02|1.70||1.36||0.34|0.34||
SU2163|0.55||0.13||0.13||0.13|||
SU2164|1.31||0.58||||0.14|||
SU2165|||0.08|||||0.08||
SU2168|||||0.05|||||
SU2171||1.08|7.85||7.58||0.27|0.54||0.54
SU2172|||2.84||5.50||0.35|0.71|0.17|
SU2173|||1.95||3.25|||0.39||
SU2174|||3.36||3.81|||||
SU2175|||0.45||1.01|||0.11||
SU2176|0.39|1.57|1.97||9.85||0.39|3.15|0.39|
SU2177|0.26|0.79|4.25||6.64|||1.86||
SU2178|0.09|0.29|0.68||0.49|||0.19||
SU2179|||0.31||1.37|||||
SU2180||0.32|0.64||0.48||||0.32|
SU2181|||0.10||0.10|||||
SU2182|||||0.15|||0.07||
SU2183|||||0.20||||0.10|
SU2185|||||0.26|||||
SU2187|16.27|9.44|13.12||8.92||0.52|5.77||
SU2188||14.01|36.20||57.22|||35.03|19.85|
SU2189|0.59|0.59|2.67||5.04||0.29|1.78|0.29|
SU2190|0.78|3.14|5.89|0.39|18.47||0.39|4.32|0.78|
SU2191|3.30|3.30|4.53||14.85|||3.30|0.82|
SU2301|0.51|3.07|8.19||6.65|||4.09|5.12|
SU2302|4.49|4.11|11.60||15.72|||6.73|4.11|
SU2303|2.58|0.86|5.17||7.76|||||
SU2304||1.44|2.88||7.21|||4.32|1.08|
SU2305|2.66|2.22|8.44||6.22|||1.33|0.88|
SU2325||0.09|0.19||0.19||||0.09|
SU2326|0.25|0.50|0.50||0.25|||||
SU2327|0.29||0.29||0.14|||0.14|0.14|
SU2328|||||0.80|||||
SU2329|||0.64||0.32|||||
SU2349|||0.37||0.75|||||
SU2351|0.23|||||||||
SU2385|||||0.09|||||
SU2389|||0.12||0.12||||0.12|
SU2402|||||0.29|||0.14||
SU2406|||0.09|||||||
SU2601||4.80|3.73||3.73|||1.60||
SU2602||2.53|1.08||4.70|||0.36||
SU2603|5.24|12.23|33.21||13.98||1.74|1.74||
SU2604|31.73|40.20|61.35||50.77||27.50|14.81||
SU2605|91.39|166.17|211.86||145.40||41.54|116.32||
SU2606|48.46|83.07|131.53||48.46|||13.84||
SU2608||4.21|1.40||1.40|||1.40||
SU2609|||||2.60|||||
SU2610|||1.04|||||||
SU2612||||0.49|0.49|||||
SU2613||0.37|||0.37|||||
SU2614||0.67||||||||
SU2617|0.19||0.19||0.58|||||
SU2618|||0.72||1.92|||||
SU2619||0.26|||1.58|||0.52||
SU2620|0.10|0.10|0.10|||||||
SU2621|0.24|0.24|||0.24|||||
SU2624|2.16||0.36||0.36|||2.16|1.08|
SU2625|0.96||0.48||0.96|||1.45||
SU2627|||||0.15|||||
SU2632|58.27|101.00|167.04||122.36||3.88|60.21|1.94|
SU2633|1.66|5.54|12.74||16.06|||6.09||1.10
SU2634|7.80|7.15|17.56||17.56|||11.05||
SU2635|12.91|14.52|25.82||20.98||0.80|21.78||
SU2636|1.62|1.29|3.24||2.92|||1.62||
SU2637|28.45|21.34|71.13||28.45|||14.22||
SU2638|28.05|4.00|32.05||56.10|||20.03||
SU2639|20.26|14.18|44.58||48.63||2.02|14.18||
SU2640|8.55|13.68|35.92||6.84|||17.10||
SU2641|32.21|37.17|69.39||32.21|2.47|4.95|24.78||
SU2642|34.59|29.98|78.41||66.88||9.22|13.83||2.30
SU2643|14.01|18.68|56.05||58.38||11.67|9.34|2.33|
SU2644|18.48|18.48|48.05||48.05|||||
SU2645|10.94|27.35|76.59||54.70||5.47|27.35||
SU2646|1.36||0.68||5.44|||2.04||
SU2647|2.48|4.13|4.13||4.96|||1.65||
SU2648|90.95|62.97|209.90||125.94||48.97|90.95||
SU2649||3.04|||3.04|||||
SU2650|||1.05||4.20||||1.05|
SU2651||2.53|1.26||7.59|||1.26||
SU2652|6.71|2.68|8.06||8.06|||1.34||
SU2653|7.68|7.68|12.07||20.84|||4.38||
SU2654|2.56|3.42|17.13||17.13|||1.71||
SU2655|16.59|13.27|63.07||36.51|||19.91||
SU2656|15.96|34.20|20.52||41.04|||6.84||
SU2657|26.05|40.27|68.69|2.36|47.37|||26.05||2.36
SU2658|9.64|28.94|41.80||61.09||3.21|32.15|3.21|
SU2659|75.45|63.85|81.26||75.45|||46.43||
SU2660|37.94|25.29|46.37|4.21|42.15|||25.29||4.21
SU2666|||0.33||0.99|||||
SU2667|||0.12|||||||
SU2669|0.45||0.45||0.90||||0.22|
SU2671|||||0.28|||||
SU2901|||||0.58|||||
SU2902|||||0.14|||||
SU2903|||||0.08|||||
SU2904|||||1.16|||||
SU2905|||||0.09|||||
SU2906|||||0.13|||||
SU2907||0.11|0.11||0.23|||0.11||
SU2908||0.47|1.30||1.30|||0.35||
SU2909|0.10||0.20||0.10|||||
SU2914|1.68|0.16|2.36||1.18|||0.84|1.34|
SU2915|0.83||0.96||1.10|||0.27|0.27|
SU2916||0.17|||0.34|||0.17||
SU2918|||||0.15|||||
SU2922|||||0.23|||||
SU2925|1.84|0.92|3.69||3.23|||2.77|0.46|
SU2926|2.32||1.39||0.92|||||
SU2927|7.00|2.80|7.00||2.10|||2.10|2.10|
SU2928|1.24|0.62|1.24||1.55|||1.86||
SU2934|||||0.15|||||
SU2935|||1.28|||||||
SU2936||||||||0.18||
SU2944||0.19|0.06||0.12|||||
SU2945||0.08|0.08||0.08|||||
SU2948|0.04||0.08|||||||
SU2950|0.72|||||||||
SU2951|0.27||0.27|||||||
SU2964|3.06|0.70|5.66||5.66|||1.18|0.23|
SU3000|||0.03||0.03|||||
SU3001|||||0.08|||||
SU3002|||||0.03|||0.03||
SU3003|||||0.24|||||
SU3004|||||0.17|||||
SU3005|||1.91||0.52|||0.52||
SU3006|||0.04||0.38|||||
SU3007|||0.05||0.15||||0.10|
SU3008|||0.14||0.87||||1.16|
SU3009||0.11|||0.71|||||
SU3010|||||||||0.55|
SU3012||0.04|||0.04|||0.04||
SU3013|0.08||||0.34||||0.08|
SU3014|||||0.61|||||
SU3015|||||0.60|||||
SU3016||0.53|1.72||2.79|||1.06|0.39|
SU3017|||0.14|0.14|1.03|||0.14||
SU3018||1.31|1.71||4.74|||0.92|0.26|
SU3019||0.29|1.03||1.92|||0.29|0.14|
SU3020||0.05|0.05||0.57|||||0.15
SU3021||0.29|0.49||3.38|||0.09|0.09|
SU3023|||0.12||0.12|||0.12||
SU3024|0.04|0.04|0.58||0.54|||0.19|0.14|
SU3025||0.05|0.05||0.20|||0.05||
SU3026|0.06||0.06||0.12|||||
SU3027|||0.43|||||||
SU3028||0.12|0.36||0.48|||0.24|0.48|
SU3030|||||||||0.15|
SU3031||0.48|||0.97|||||
SU3032|||0.25||0.38|||||
SU3033||1.50|2.50||3.50|||3.00||
SU3034||3.60|4.32||3.84||0.48|1.20||
SU3035||0.76|1.02||1.95||0.17|0.42||
SU3036||4.63|6.17||5.86||1.85|2.16||
SU3037|0.50|2.01|3.52||8.55||0.50|5.03||
SU3038||4.70|4.23||6.58||1.41|1.88||
SU3039||2.22|4.45||3.90||1.11|1.39||
SU3040||1.97|1.25||2.87||0.71|1.25||
SU3041||0.45|1.06||1.37|||0.45||
SU3042||0.15|1.39||0.62|||0.15||
SU3043||0.08|0.41||0.58|||0.25||
SU3044||0.74|0.55||1.48|||0.37||
SU3045||0.09|0.19||0.58||0.09|0.29||
SU3046||0.16|0.20||0.12||0.08|0.16||
SU3047||0.18|0.03||0.03|||||
SU3048||0.03|||0.03|||||
SU3050||0.03|||0.03|||||
SU3051|||||0.11|||||
SU3052|||||0.08|||||
SU3053|||0.05||0.16|||0.05||
SU3054|||||0.40|||||
SU3055||0.04|||0.08|||||
SU3056||0.10|0.05||0.05||0.05|||
SU3057||0.58|1.16||1.88||0.14|0.72||
SU3058|||0.85||4.07|||0.21|0.21|
SU3059|||||0.04|||0.02||
SU3060||||||||0.02||
SU3061||0.05|||0.15|||||
SU3063||0.03|0.03|||||||
SU3064|||||0.14|||||
SU3065|||||0.15||0.03|||
SU3066||||||||0.02||
SU3067||0.13|0.06|||||||
SU3068||0.07||||||||
SU3069||0.70|0.55||1.10|||0.23|0.62|
SU3070|0.16|1.62|1.45||4.05|||1.45|0.81|
SU3071||4.18|5.49||10.20||1.83|2.87|1.83|
SU3072||2.67|3.86||8.61||0.29|1.48|1.78|
SU3073|0.35|3.23|11.49||8.98|||2.87|1.07|
SU3074||5.81|7.75||10.47||1.16|10.08|2.71|
SU3075|0.67|3.71|4.72||7.76||0.33|2.36|2.36|
SU3076||1.03|2.06||2.06|||2.06||
SU3077||0.63|1.10||1.26||0.15|0.15||
SU3078|||||0.45|||0.22|0.11|
SU3079||0.06|0.24||0.54||||0.06|
SU3080|||0.25||0.75|||0.37|0.25|
SU3081||0.50|0.20||1.42|||0.71||
SU3082||0.14|0.86||0.50||0.07|0.50|0.21|
SU3083||0.35|0.53||0.88|||0.44|0.08|
SU3085|||0.16||0.08|||||
SU3086|||0.06||0.06|||||
SU3087||0.14|||0.14|||||
SU3088||0.77|2.32||1.80|||0.51||
SU3089||0.60|0.48||1.46|||0.24||
SU3090|||0.08||0.08|||||
SU3091|||0.13||0.13|||||
SU3092||0.21|0.32||0.54|||0.10||
SU3093||0.15|0.15||0.92|||0.15||
SU3094||0.33|0.33||0.83||0.16|0.49||
SU3095|0.57||||0.19|||0.19||
SU3097|||6.20||5.65|||0.73||0.54
SU3098|0.39|1.59|4.59||2.39|||0.99||
SU3099||0.17|0.23||0.46||0.05|0.17||
SU3100||0.24|3.69||1.96|||0.49|0.49|
