ISZ|SIANo|SUNo|SumOfNoPiece|Tile
Karkotis||SU1048|7.00|Tile
Karkotis||SU1050|3.00|Tile
Karkotis||SU1051|4.00|Tile
Karkotis|TS09|SU1053|4.00|Tile
Karkotis|TS09|SU1054|7.00|Tile
Karkotis|TS09|SU1055|2.00|Tile
Karkotis|TS09|SU1056|4.00|Tile
Karkotis|TS09|SU1057|2.00|Tile
Karkotis|TS09|SU1058|1.00|Tile
Karkotis|TS09|SU1059|1.00|Tile
Karkotis|TS09|SU1060|3.00|Tile
Karkotis|TS09|SU1061|4.00|Tile
Karkotis|TS09|SU1062|3.00|Tile
Karkotis|TS09|SU1063|4.00|Tile
Karkotis|TS09|SU1064|5.00|Tile
Karkotis|TS09|SU1065|5.00|Tile
Karkotis|TS09|SU1067|1.00|Tile
Karkotis|TS09|SU1068|2.00|Tile
Karkotis|TS09|SU1071|1.00|Tile
Karkotis|TS13|SU1072|5.00|Tile
Karkotis|TS13|SU1073|6.00|Tile
Karkotis|TS13|SU1074|6.00|Tile
Karkotis|TS13|SU1076|6.00|Tile
Karkotis|TS13|SU1077|6.00|Tile
Karkotis|TS13|SU1078|3.00|Tile
Karkotis|TS09|SU1079|3.00|Tile
Karkotis|TS09|SU1080|1.00|Tile
Karkotis|TS15|SU1082|15.00|Tile
Karkotis|TS15|SU1083|21.00|Tile
Karkotis|TS15|SU1084|1.00|Tile
Karkotis||SU1085|2.00|Tile
Karkotis||SU1086|1.00|Tile
Karkotis||SU1087|4.00|Tile
Karkotis||SU1088|3.00|Tile
Karkotis|TS09|SU1089|2.00|Tile
Karkotis|TS09|SU1094|4.00|Tile
Karkotis||SU1095|6.00|Tile
Karkotis|TS11|SU1302|11.00|Tile
Karkotis|TS11|SU1303|13.00|Tile
Karkotis|TS11|SU1304|14.00|Tile
Karkotis||SU1305|6.00|Tile
Karkotis||SU1306|10.00|Tile
Karkotis||SU1307|6.00|Tile
Karkotis||SU1308|20.00|Tile
Karkotis||SU1309|4.00|Tile
Karkotis||SU1310|5.00|Tile
Karkotis||SU1311|4.00|Tile
Karkotis||SU1312|1.00|Tile
Karkotis||SU1314|1.00|Tile
Karkotis||SU1315|4.00|Tile
Karkotis||SU1316|7.00|Tile
Karkotis||SU1317|4.00|Tile
Karkotis||SU1318|3.00|Tile
Karkotis||SU1319|2.00|Tile
Karkotis||SU1320|4.00|Tile
Karkotis||SU1322|10.00|Tile
Karkotis||SU1323|3.00|Tile
Karkotis||SU1325|5.00|Tile
Karkotis||SU1327|6.00|Tile
Koutraphas|TS21|SU1341|1.00|Tile
Koutraphas|TS21|SU1349|1.00|Tile
Asinou|TS12|SU1357|1.00|Tile
Asinou|TS12|SU1358|2.00|Tile
Asinou|TS17|SU1360|3.00|Tile
Asinou|TS08|SU1361|6.00|Tile
Asinou|TS08|SU1363|4.00|Tile
Asinou|TS08|SU1364|3.00|Tile
Asinou|TS08|SU1365|5.00|Tile
Asinou|TS08|SU1366|6.00|Tile
Asinou|TS12|SU1368|1.00|Tile
Asinou|TS08|SU1371|13.00|Tile
Mandres|TS07|SU1382|1.00|Tile
Mandres|TS07|SU1384|1.00|Tile
Karkotis|TS11|SU1602|1.00|Tile
Karkotis|TS11|SU1603|8.00|Tile
Karkotis|TS11|SU1604|2.00|Tile
Karkotis|TS11|SU1605|27.00|Tile
Xyliatos|TS02|SU1620|17.00|Tile
Xyliatos|TS02|SU1621|6.00|Tile
Xyliatos|TS02|SU1622|6.00|Tile
Xyliatos|TS02|SU1623|9.00|Tile
Xyliatos|TS02|SU1626|3.00|Tile
Xyliatos|TS02|SU1629|1.00|Tile
Xyliatos|TS02|SU1630|3.00|Tile
Xyliatos|TS02|SU1631|1.00|Tile
Xyliatos|TS02|SU1634|5.00|Tile
