ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Koutraphas||SU3038|4.00|HIS
Koutraphas||SU3038|11.00|HR
Koutraphas||SU3038|2.00|LR
Koutraphas||SU3038|7.00|ROM
Koutraphas||SU3039|3.00|ER
Koutraphas||SU3039|24.00|HA
Koutraphas||SU3039|4.00|HIS
Koutraphas||SU3039|4.00|HR
Koutraphas||SU3039|1.00|LH
Koutraphas||SU3039|3.00|LR
Koutraphas||SU3039|1.00|OTTMODII
Koutraphas||SU3039|7.00|ROM
Koutraphas||SU3040|1.00|ER
Koutraphas||SU3040|22.00|HA
Koutraphas||SU3040|5.00|HR
Koutraphas||SU3040|1.00|LR
Koutraphas||SU3040|1.00|MR
Koutraphas||SU3040|15.00|ROM
Koutraphas||SU3041|15.00|HA
Koutraphas||SU3041|1.00|HEL
Koutraphas||SU3041|4.00|HR
Koutraphas||SU3041|1.00|OTTMODII
Koutraphas||SU3041|1.00|ROM
Koutraphas||SU3042|11.00|HA
Koutraphas||SU3042|1.00|HIS
Koutraphas||SU3042|2.00|HR
Koutraphas||SU3042|1.00|LR
Koutraphas||SU3043|1.00|ER
Koutraphas||SU3043|10.00|HA
Koutraphas||SU3043|2.00|HIS
Koutraphas||SU3043|3.00|HR
Koutraphas||SU3044|10.00|HA
Koutraphas||SU3044|5.00|HR
Koutraphas||SU3044|1.00|LR
Koutraphas||SU3044|1.00|ROM
Koutraphas||SU3045|1.00|ER
Koutraphas||SU3045|7.00|HA
Koutraphas||SU3045|1.00|HIS
Koutraphas||SU3045|2.00|HR
Koutraphas||SU3045|1.00|MEDF
Koutraphas||SU3045|1.00|ROM
Koutraphas||SU3046|3.00|ER
Koutraphas||SU3046|4.00|HA
Koutraphas||SU3046|4.00|HIS
Koutraphas||SU3046|4.00|HR
Koutraphas||SU3046|1.00|OTTMODI
Koutraphas||SU3046|2.00|ROM
Koutraphas||SU3047|2.00|HA
Koutraphas||SU3047|5.00|HR
Koutraphas||SU3048|1.00|HA
Koutraphas||SU3048|1.00|HR
Koutraphas||SU3050|1.00|HA
Koutraphas||SU3050|1.00|HR
Koutraphas||SU3051|3.00|HIS
Koutraphas||SU3052|2.00|HIS
Koutraphas||SU3053|1.00|HA
Koutraphas||SU3053|3.00|HIS
Koutraphas||SU3053|1.00|HR
Koutraphas||SU3054|7.00|HIS
Koutraphas||SU3054|1.00|MM
Koutraphas||SU3055|2.00|HIS
Koutraphas||SU3055|1.00|HR
Koutraphas||SU3056|1.00|HA
Koutraphas||SU3056|2.00|HIS
Koutraphas||SU3056|2.00|HR
Koutraphas||SU3057|16.00|HA
Koutraphas||SU3057|2.00|HEL
Koutraphas||SU3057|5.00|HIS
Koutraphas||SU3057|8.00|HR
Koutraphas||SU3058|12.00|HA
Koutraphas||SU3058|11.00|HIS
Koutraphas||SU3058|1.00|LR
Koutraphas||SU3058|1.00|MM
Koutraphas||SU3059|2.00|HA
Koutraphas||SU3059|1.00|HR
Koutraphas||SU3060|1.00|HR
Koutraphas||SU3061|3.00|HIS
Koutraphas||SU3061|1.00|ROM
Koutraphas||SU3063|1.00|HA
Koutraphas||SU3063|1.00|ROM
Koutraphas||SU3064|3.00|HA
Koutraphas||SU3064|1.00|HIS
Koutraphas||SU3065|4.00|HA
Koutraphas||SU3065|2.00|HIS
Koutraphas||SU3066|1.00|HA
Koutraphas||SU3067|1.00|HA
Koutraphas||SU3067|2.00|HR
Koutraphas||SU3068|1.00|HR
Koutraphas||SU3069|9.00|HA
Koutraphas||SU3069|11.00|HIS
Koutraphas||SU3069|9.00|HR
Koutraphas||SU3069|1.00|MED
Koutraphas||SU3069|9.00|MM
Koutraphas||SU3069|1.00|OTTMODI
Koutraphas||SU3069|1.00|OTTMODII
Koutraphas||SU3070|20.00|HA
Koutraphas||SU3070|14.00|HR
Koutraphas||SU3070|1.00|LR
Koutraphas||SU3070|1.00|MED
Koutraphas||SU3070|1.00|MEDUIII
Koutraphas||SU3070|16.00|MM
Koutraphas||SU3070|4.00|OTTMODI
Koutraphas||SU3070|2.00|ROM
Koutraphas||SU3071|32.00|HA
Koutraphas||SU3071|1.00|HEL
Koutraphas||SU3071|1.00|HIS
Koutraphas||SU3071|11.00|HR
Koutraphas||SU3071|2.00|LR
Koutraphas||SU3071|2.00|MEDUIII
Koutraphas||SU3071|1.00|MEDVOTT
Koutraphas||SU3071|30.00|MM
Koutraphas||SU3071|2.00|MOD
Koutraphas||SU3071|5.00|OTTMODI
Koutraphas||SU3071|2.00|OTTMODII
Koutraphas||SU3071|12.00|ROM
Koutraphas||SU3072|21.00|HA
Koutraphas||SU3072|1.00|HIS
Koutraphas||SU3072|8.00|HR
Koutraphas||SU3072|1.00|LR
Koutraphas||SU3072|1.00|MEDF
Koutraphas||SU3072|2.00|MEDUIII
Koutraphas||SU3072|1.00|MEDVOTT
Koutraphas||SU3072|25.00|MM
Koutraphas||SU3072|2.00|OTTMODI
Koutraphas||SU3072|1.00|ROM
Koutraphas||SU3073|38.00|HA
Koutraphas||SU3073|9.00|HR
Koutraphas||SU3073|1.00|LHER
Koutraphas||SU3073|2.00|LR
Koutraphas||SU3073|3.00|MEDVOTT
Koutraphas||SU3073|18.00|MM
Koutraphas||SU3073|3.00|OTTMODI
Koutraphas||SU3073|4.00|ROM
Koutraphas||SU3074|3.00|ER
Koutraphas||SU3074|1.00|HEL
Koutraphas||SU3074|32.00|HIS
Koutraphas||SU3074|13.00|HR
Koutraphas||SU3074|3.00|LHER
Koutraphas||SU3074|3.00|LR
Koutraphas||SU3074|3.00|MEDF
Koutraphas||SU3074|1.00|MEDVOTT
Koutraphas||SU3074|26.00|MM
Koutraphas||SU3074|3.00|OTTMODI
Koutraphas||SU3074|1.00|OTTMODII
Koutraphas||SU3074|9.00|ROM
Koutraphas||SU3075|25.00|HA
Koutraphas||SU3075|5.00|HR
Koutraphas||SU3075|5.00|LR
Koutraphas||SU3075|1.00|MEDVOTT
Koutraphas||SU3075|24.00|MM
Koutraphas||SU3075|2.00|OTTMODI
Koutraphas||SU3075|3.00|ROM
Koutraphas||SU3076|1.00|ER
Koutraphas||SU3076|8.00|HA
Koutraphas||SU3076|1.00|HEL
Koutraphas||SU3076|8.00|HIS
Koutraphas||SU3076|6.00|LR
Koutraphas||SU3076|2.00|MEDVOTT
Koutraphas||SU3076|5.00|MM
Koutraphas||SU3076|4.00|ROM
Koutraphas||SU3077|9.00|HA
Koutraphas||SU3077|4.00|HIS
Koutraphas||SU3077|3.00|HR
Koutraphas||SU3077|1.00|LHER
Koutraphas||SU3077|4.00|MM
Koutraphas||SU3078|6.00|HA
Koutraphas||SU3078|2.00|LR
Koutraphas||SU3078|2.00|MM
Koutraphas||SU3078|4.00|OTTMODI
Koutraphas||SU3079|7.00|HA
Koutraphas||SU3079|1.00|HR
Koutraphas||SU3079|1.00|MEDUIII
Koutraphas||SU3079|6.00|MOD
Koutraphas||SU3080|2.00|HA
Koutraphas||SU3080|1.00|MEDF
Koutraphas||SU3080|1.00|MEDVOTT
Koutraphas||SU3080|8.00|MM
Koutraphas||SU3080|1.00|OTTMODI
Koutraphas||SU3081|7.00|HA
Koutraphas||SU3081|7.00|HR
Koutraphas||SU3081|3.00|MEDF
Koutraphas||SU3081|2.00|MEDVOTT
Koutraphas||SU3081|8.00|MM
Koutraphas||SU3081|1.00|RM
Koutraphas||SU3082|1.00|HA
Koutraphas||SU3082|3.00|HIS
Koutraphas||SU3082|1.00|HR
Koutraphas||SU3082|6.00|MEDF
Koutraphas||SU3082|1.00|MEDVOTT
Koutraphas||SU3082|17.00|MM
Koutraphas||SU3082|2.00|OTTMODI
Koutraphas||SU3082|1.00|ROM
Koutraphas||SU3083|2.00|HA
Koutraphas||SU3083|1.00|HIS
Koutraphas||SU3083|1.00|HR
Koutraphas||SU3083|3.00|MEDVOTT
Koutraphas||SU3083|18.00|MM
Koutraphas||SU3083|1.00|OTTMODI
Koutraphas||SU3085|2.00|HA
Koutraphas||SU3085|1.00|HR
Koutraphas||SU3086|2.00|HA
Koutraphas||SU3087|2.00|HIS
Koutraphas||SU3088|11.00|HA
Koutraphas||SU3088|5.00|HIS
Koutraphas||SU3088|5.00|HR
Koutraphas||SU3089|13.00|HA
Koutraphas||SU3089|2.00|HIS
Koutraphas||SU3089|5.00|HR
Koutraphas||SU3089|2.00|LR
Koutraphas||SU3089|1.00|MM
Koutraphas||SU3090|2.00|HA
Koutraphas||SU3091|1.00|HA
Koutraphas||SU3091|1.00|HIS
Koutraphas||SU3092|8.00|HA
Koutraphas||SU3092|3.00|HR
Koutraphas||SU3093|5.00|HA
Koutraphas||SU3093|1.00|HR
Koutraphas||SU3093|1.00|MEDUIII
Koutraphas||SU3093|1.00|MEDVOTT
Koutraphas||SU3093|1.00|MM
Extensive||SU3094|4.00|HA
Extensive||SU3094|1.00|HEL
Extensive||SU3094|1.00|HIS
Extensive||SU3094|3.00|HR
Extensive||SU3094|2.00|MM
Extensive||SU3094|1.00|MR
Extensive||SU3094|1.00|ROM
Extensive||SU3095|1.00|HIS
Extensive||SU3095|1.00|MM
Extensive||SU3095|3.00|MOD
Extensive||SU3097|19.00|BA
Extensive||SU3097|1.00|GAC
Extensive||SU3097|11.00|HA
Extensive||SU3097|18.00|HIS
Extensive||SU3097|2.00|HR
Extensive||SU3097|1.00|PeB
Extensive||SU3097|16.00|PH
Extensive||SU3097|1.00|ROM
Extensive||SU3097|3.00|UN
Extensive||SU3098|2.00|BA
Extensive||SU3098|4.00|GAC
Extensive||SU3098|18.00|HA
Extensive||SU3098|6.00|HIS
Extensive||SU3098|9.00|HR
Extensive||SU3098|2.00|MM
Extensive||SU3098|1.00|MOD
Extensive||SU3098|8.00|UN
Extensive||SU3099|6.00|HA
Extensive||SU3099|6.00|HIS
Extensive||SU3099|6.00|HR
Extensive||SU3099|1.00|ROM
Extensive||SU3100|16.00|BA
Extensive||SU3100|5.00|HA
Extensive||SU3100|2.00|HR
Extensive||SU3100|3.00|MM
Extensive||SU3100|2.00|UN
