ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Xyliatos|TS05|SU2635|12.00|ER
Xyliatos|TS05|SU2635|28.00|HA
Xyliatos|TS05|SU2635|2.00|HEL
Xyliatos|TS05|SU2635|28.00|HIS
Xyliatos|TS05|SU2635|19.00|HR
Xyliatos|TS05|SU2635|1.00|LH
Xyliatos|TS05|SU2635|11.00|LHER
Xyliatos|TS05|SU2635|1.00|LR
Xyliatos|TS05|SU2635|1.00|MOD
Xyliatos|TS05|SU2635|2.00|RM
Xyliatos|TS05|SU2635|15.00|ROM
Xyliatos|TS05|SU2636|2.00|ER
Xyliatos|TS05|SU2636|10.00|HA
Xyliatos|TS05|SU2636|9.00|HIS
Xyliatos|TS05|SU2636|2.00|HR
Xyliatos|TS05|SU2636|2.00|MOD
Xyliatos|TS05|SU2636|3.00|RM
Xyliatos|TS05|SU2636|5.00|ROM
Xyliatos|TS05|SU2637|9.00|HA
Xyliatos|TS05|SU2637|1.00|HEL
Xyliatos|TS05|SU2637|3.00|HIS
Xyliatos|TS05|SU2637|4.00|HR
Xyliatos|TS05|SU2637|2.00|LR
Xyliatos|TS05|SU2637|4.00|ROM
Xyliatos|TS05|SU2638|15.00|HA
Xyliatos|TS05|SU2638|6.00|HIS
Xyliatos|TS05|SU2638|5.00|HR
Xyliatos|TS05|SU2638|1.00|OTTMODII
Xyliatos|TS05|SU2638|8.00|ROM
Xyliatos|TS05|SU2639|20.00|HA
Xyliatos|TS05|SU2639|20.00|HIS
Xyliatos|TS05|SU2639|12.00|HR
Xyliatos|TS05|SU2639|1.00|LHER
Xyliatos|TS05|SU2639|4.00|LR
Xyliatos|TS05|SU2639|2.00|MM
Xyliatos|TS05|SU2639|1.00|RM
Xyliatos|TS05|SU2639|11.00|ROM
Xyliatos|TS05|SU2640|2.00|ER
Xyliatos|TS05|SU2640|13.00|HA
Xyliatos|TS05|SU2640|11.00|HIS
Xyliatos|TS05|SU2640|12.00|HR
Xyliatos|TS05|SU2640|1.00|LH
Xyliatos|TS05|SU2640|1.00|LHER
Xyliatos|TS05|SU2640|1.00|LR
Xyliatos|TS05|SU2640|1.00|MM
Xyliatos|TS05|SU2640|1.00|MR
Xyliatos|TS05|SU2640|5.00|ROM
Xyliatos|TS05|SU2641|21.00|HA
Xyliatos|TS05|SU2641|1.00|HEL
Xyliatos|TS05|SU2641|15.00|HIS
Xyliatos|TS05|SU2641|14.00|HR
