ISZ|SIANo|SUNo|Cat|SumOfNoPieces
Karkotis|TS06|SU2006|Co|1.00
Karkotis|TS06|SU2012|Co|1.00
Karkotis|TS04|SU2015|De|1.00
Karkotis|TS04|SU2017|De|1.00
Karkotis|TS07|SU2024|Co|1.00
Karkotis||SU2028|Bl|1.00
Karkotis||SU2028|Co|4.00
Karkotis||SU2028|De|3.00
Karkotis||SU2029|Bl|3.00
Karkotis||SU2029|Co|2.00
Karkotis||SU2029|De|1.00
Karkotis||SU2030|Bl|1.00
Karkotis||SU2030|Co|1.00
Karkotis||SU2030|De|2.00
Karkotis||SU2031|Co|3.00
Karkotis||SU2033|Bl|1.00
Karkotis||SU2034|Bl|3.00
Karkotis||SU2034|Co|4.00
Karkotis||SU2034|De|4.00
Karkotis||SU2037|Bl|1.00
Karkotis||SU2037|Co|1.00
Karkotis||SU2037|De|3.00
Karkotis||SU2041|De|1.00
Karkotis||SU2042|Co|1.00
Karkotis||SU2050|De|2.00
Karkotis||SU2052|De|1.00
Karkotis||SU2053|De|1.00
Karkotis||SU2056|Co|2.00
Karkotis||SU2056|De|2.00
Karkotis||SU2057|De|1.00
Karkotis||SU2058|Bl|1.00
Karkotis||SU2064|De|1.00
Karkotis||SU2066|Bl|1.00
Karkotis||SU2068|Co|1.00
Karkotis||SU2068|De|1.00
Karkotis||SU2069|Co|4.00
Karkotis||SU2070|De|1.00
Karkotis|TS06|SU2078|De|1.00
Karkotis|TS06|SU2082|Bl|1.00
Karkotis|TS06|SU2085|De|1.00
Atsas||SU2096|Bl|1.00
Karkotis|TS06|SU2104|Co|4.00
Karkotis|TS06|SU2104|De|1.00
Atsas||SU2105|Bl|1.00
Atsas||SU2117|Bl|1.00
Karkotis|TS15|SU2131|Co|1.00
Karkotis|TS15|SU2131|De|1.00
Karkotis|TS15|SU2134|Bl|1.00
Karkotis|TS15|SU2134|Co|1.00
Karkotis|TS15|SU2135|Co|1.00
Karkotis|TS15|SU2138|De|1.00
Karkotis|TS15|SU2139|De|1.00
Atsas||SU2148|De|1.00
Atsas||SU2151|Co|1.00
Atsas||SU2175|Bl|1.00
Atsas||SU2176|Co|1.00
Atsas||SU2176|De|1.00
Atsas||SU2177|Co|1.00
Atsas||SU2177|De|2.00
Atsas||SU2178|Co|1.00
Atsas||SU2180|De|2.00
Atsas||SU2182|De|1.00
Atsas|TS20|SU2187|Co|1.00
Atsas|TS20|SU2187|De|4.00
Karkotis|TS09|SU2190|Co|1.00
Koutraphas||SU2384|De|1.00
Koutraphas||SU2385|De|3.00
Koutraphas||SU2386|Bl|1.00
Koutraphas||SU2386|Co|1.00
Koutraphas||SU2387|Co|2.00
Koutraphas||SU2387|De|1.00
Koutraphas||SU2388|Co|1.00
Koutraphas||SU2389|Co|1.00
Koutraphas||SU2390|Co|1.00
Koutraphas||SU2390|De|4.00
Xyliatos|TS05|SU2601|Bl|4.00
Xyliatos|TS05|SU2601|Co|4.00
Xyliatos|TS05|SU2601|De|5.00
Xyliatos|TS05|SU2602|Co|2.00
Xyliatos|TS05|SU2603|De|2.00
Xyliatos|TS05|SU2604|Co|1.00
Xyliatos|TS05|SU2605|Bl|1.00
Xyliatos|TS05|SU2606|Bl|1.00
Xyliatos|TS05|SU2606|De|1.00
Xyliatos||SU2607|Bl|1.00
Xyliatos||SU2607|De|1.00
Xyliatos|TS05|SU2632|Bl|2.00
Xyliatos|TS05|SU2633|Bl|1.00
Xyliatos|TS05|SU2635|Co|1.00
Xyliatos|TS05|SU2641|Co|1.00
Xyliatos|TS05|SU2642|Bl|1.00
Xyliatos|TS05|SU2643|Bl|1.00
Xyliatos|TS05|SU2655|Co|1.00
Extensive||SU2901|Bl|1.00
Extensive||SU2901|Co|2.00
Extensive||SU2901|De|1.00
Extensive||SU2904|Co|1.00
Extensive||SU2904|De|1.00
Extensive||SU2909|Co|2.00
Extensive||SU2910|De|1.00
Extensive||SU2911|De|2.00
Extensive||SU2913|Co|2.00
Extensive||SU2913|De|1.00
Extensive||SU2914|Bl|2.00
Extensive||SU2914|Co|2.00
Extensive||SU2914|De|1.00
Extensive||SU2915|Co|4.00
Extensive||SU2915|De|5.00
Extensive||SU2919|Bl|2.00
Extensive||SU2919|Co|1.00
Extensive||SU2919|De|7.00
Extensive||SU2921|De|3.00
Extensive||SU2922|Co|1.00
Extensive||SU2925|De|1.00
Extensive||SU2937|Co|1.00
Extensive||SU2942|Bl|1.00
Extensive||SU2942|Co|1.00
Extensive||SU2942|De|1.00
Extensive||SU2944|Bl|2.00
Extensive||SU2944|Co|4.00
Extensive||SU2944|De|1.00
Extensive||SU2945|Co|2.00
Extensive||SU2960|Co|1.00
Karkotis|TS11|SU2962|Co|2.00
Karkotis|TS11|SU2962|De|2.00
Karkotis|TS11|SU2964|De|1.00
Karkotis|TS11|SU2965|Co|1.00
Mandres||SU3006|Co|1.00
Mandres||SU3018|Co|1.00
Mandres||SU3026|Bl|1.00
Mandres||SU3026|Co|1.00
Mandres||SU3027|Co|2.00
Mandres||SU3027|De|2.00
Mandres||SU3028|Bl|1.00
