ISZ|SIANo|SUNo|SumOfNoPiece|Func
Karkotis|TS11|SU1302|8.00|TW
Karkotis|TS11|SU1303|13.00|Ar
Karkotis|TS11|SU1303|4.00|CW
Karkotis|TS11|SU1303|22.00|HU
Karkotis|TS11|SU1303|5.00|LU
Karkotis|TS11|SU1303|3.00|TW
Karkotis|TS11|SU1304|14.00|Ar
Karkotis|TS11|SU1304|1.00|CW
Karkotis|TS11|SU1304|22.00|HU
Karkotis|TS11|SU1304|6.00|LU
Karkotis|TS11|SU1304|1.00|Tr
Karkotis|TS11|SU1304|4.00|TW
Karkotis||SU1305|6.00|Ar
Karkotis||SU1305|3.00|CW
Karkotis||SU1305|36.00|HU
Karkotis||SU1305|24.00|LU
Karkotis||SU1305|3.00|Tr
Karkotis||SU1305|14.00|TW
Karkotis||SU1306|9.00|Ar
Karkotis||SU1306|8.00|CW
Karkotis||SU1306|47.00|HU
Karkotis||SU1306|45.00|LU
Karkotis||SU1306|5.00|Tr
Karkotis||SU1306|15.00|TW
Karkotis||SU1307|6.00|Ar
Karkotis||SU1307|1.00|CW
Karkotis||SU1307|33.00|HU
Karkotis||SU1307|31.00|LU
Karkotis||SU1307|1.00|Tr
Karkotis||SU1307|13.00|TW
Karkotis||SU1308|20.00|Ar
Karkotis||SU1308|2.00|CW
Karkotis||SU1308|33.00|HU
Karkotis||SU1308|31.00|LU
Karkotis||SU1308|4.00|Tr
Karkotis||SU1308|7.00|TW
Karkotis||SU1309|3.00|Ar
Karkotis||SU1309|3.00|CW
Karkotis||SU1309|38.00|HU
Karkotis||SU1309|8.00|LU
Karkotis||SU1309|5.00|TW
Karkotis||SU1309|2.00|Un
Karkotis||SU1310|5.00|Ar
Karkotis||SU1310|4.00|CW
Karkotis||SU1310|39.00|HU
Karkotis||SU1310|51.00|LU
Karkotis||SU1310|1.00|Tr
Karkotis||SU1310|19.00|TW
Karkotis||SU1311|4.00|Ar
Karkotis||SU1311|1.00|CW
Karkotis||SU1311|19.00|HU
Karkotis||SU1311|20.00|LU
Karkotis||SU1311|3.00|Tr
Karkotis||SU1311|8.00|TW
Karkotis||SU1312|1.00|Ar
Karkotis||SU1312|1.00|CW
Karkotis||SU1312|2.00|LU
Karkotis||SU1312|1.00|TW
Karkotis||SU1313|1.00|CW
Karkotis||SU1313|4.00|HU
Karkotis||SU1313|4.00|LU
Karkotis||SU1313|1.00|TW
Karkotis||SU1314|1.00|Ar
Karkotis||SU1314|2.00|CW
Karkotis||SU1314|5.00|HU
Karkotis||SU1314|4.00|LU
Karkotis||SU1315|4.00|Ar
Karkotis||SU1315|4.00|CW
Karkotis||SU1315|44.00|HU
Karkotis||SU1315|31.00|LU
Karkotis||SU1315|1.00|PO
Karkotis||SU1315|1.00|Tr
Karkotis||SU1315|28.00|TW
Karkotis||SU1316|7.00|Ar
Karkotis||SU1316|12.00|CW
Karkotis||SU1316|44.00|HU
Karkotis||SU1316|54.00|LU
Karkotis||SU1316|3.00|Tr
Karkotis||SU1316|37.00|TW
Karkotis||SU1317|4.00|Ar
Karkotis||SU1317|2.00|CW
Karkotis||SU1317|30.00|HU
Karkotis||SU1317|55.00|LU
Karkotis||SU1317|15.00|TW
Karkotis||SU1318|3.00|Ar
Karkotis||SU1318|6.00|CW
Karkotis||SU1318|24.00|HU
Karkotis||SU1318|48.00|LU
Karkotis||SU1318|12.00|TW
Karkotis||SU1319|2.00|Ar
Karkotis||SU1319|4.00|CW
Karkotis||SU1319|16.00|HU
Karkotis||SU1319|31.00|LU
Karkotis||SU1319|19.00|TW
Karkotis||SU1320|4.00|Ar
Karkotis||SU1320|4.00|CW
Karkotis||SU1320|21.00|HU
Karkotis||SU1320|45.00|LU
Karkotis||SU1320|1.00|Tr
Karkotis||SU1320|16.00|TW
Karkotis||SU1321|3.00|CW
Karkotis||SU1321|4.00|HU
Karkotis||SU1321|16.00|LU
Karkotis||SU1321|1.00|Tr
Karkotis||SU1321|2.00|TW
Karkotis||SU1322|10.00|Ar
Karkotis||SU1322|3.00|CW
Karkotis||SU1322|33.00|HU
Karkotis||SU1322|42.00|LU
Karkotis||SU1322|13.00|TW
Karkotis||SU1323|3.00|Ar
Karkotis||SU1323|1.00|CW
Karkotis||SU1323|41.00|HU
Karkotis||SU1323|35.00|LU
Karkotis||SU1323|5.00|TW
Karkotis||SU1324|32.00|HU
Karkotis||SU1324|17.00|LU
Karkotis||SU1324|4.00|TW
Karkotis||SU1325|5.00|Ar
Karkotis||SU1325|8.00|CW
Karkotis||SU1325|54.00|HU
Karkotis||SU1325|44.00|LU
Karkotis||SU1325|31.00|TW
Karkotis||SU1326|3.00|CW
Karkotis||SU1326|25.00|HU
Karkotis||SU1326|41.00|LU
Karkotis||SU1326|13.00|TW
Karkotis||SU1327|6.00|Ar
Karkotis||SU1327|2.00|CW
Karkotis||SU1327|49.00|HU
Karkotis||SU1327|30.00|LU
Karkotis||SU1327|6.00|TW
Koutraphas|TS21|SU1328|1.00|CW
Koutraphas|TS21|SU1328|1.00|LU
Koutraphas|TS21|SU1329|2.00|LU
Koutraphas|TS21|SU1330|3.00|HU
Koutraphas|TS21|SU1330|3.00|La
Koutraphas|TS21|SU1330|1.00|LU
Koutraphas|TS21|SU1332|1.00|LU
Koutraphas|TS21|SU1336|1.00|HU
Koutraphas|TS21|SU1337|1.00|LU
Koutraphas|TS21|SU1339|1.00|CW
Koutraphas|TS21|SU1339|1.00|LU
Koutraphas|TS21|SU1339|1.00|TW
Koutraphas|TS21|SU1340|2.00|HU
Koutraphas|TS21|SU1340|6.00|LU
Koutraphas|TS21|SU1340|1.00|TW
Koutraphas|TS21|SU1341|2.00|Ar
Koutraphas|TS21|SU1341|3.00|CW
Koutraphas|TS21|SU1341|2.00|LU
Koutraphas|TS21|SU1342|2.00|CW
Koutraphas|TS21|SU1342|1.00|TW
Koutraphas|TS21|SU1343|2.00|HU
Koutraphas|TS21|SU1343|5.00|LU
Koutraphas|TS21|SU1343|1.00|TW
Koutraphas|TS21|SU1344|2.00|CW
Koutraphas|TS21|SU1344|5.00|HU
Koutraphas|TS21|SU1344|2.00|LU
Koutraphas|TS21|SU1345|2.00|CW
Koutraphas|TS21|SU1345|1.00|HU
Koutraphas|TS21|SU1345|4.00|LU
Koutraphas|TS21|SU1345|1.00|TW
Koutraphas|TS21|SU1346|2.00|HU
Koutraphas|TS21|SU1346|3.00|LU
Koutraphas|TS21|SU1347|1.00|CW
Koutraphas|TS21|SU1347|3.00|LU
Koutraphas|TS21|SU1347|1.00|TW
Koutraphas|TS21|SU1348|2.00|CW
Koutraphas|TS21|SU1348|2.00|HU
Koutraphas|TS21|SU1348|2.00|LU
Koutraphas|TS21|SU1349|1.00|Ar
Koutraphas|TS21|SU1349|1.00|CW
Koutraphas|TS21|SU1349|2.00|HU
Koutraphas|TS21|SU1349|4.00|LU
Koutraphas|TS21|SU1349|2.00|TW
Koutraphas|TS21|SU1350|3.00|CW
Koutraphas|TS21|SU1350|2.00|HU
Koutraphas|TS21|SU1350|1.00|LU
Koutraphas|TS21|SU1351|2.00|HU
Koutraphas|TS21|SU1351|5.00|LU
Koutraphas|TS21|SU1351|2.00|TW
Koutraphas|TS21|SU1352|1.00|LU
Asinou|TS12|SU1353|1.00|HU
Asinou|TS12|SU1353|4.00|LU
Asinou|TS12|SU1354|1.00|HU
Asinou|TS12|SU1354|4.00|LU
Asinou|TS12|SU1355|4.00|LU
Asinou|TS12|SU1356|4.00|HU
Asinou|TS12|SU1356|6.00|LU
Asinou|TS12|SU1356|1.00|TW
Asinou|TS12|SU1357|1.00|Ar
Asinou|TS12|SU1357|2.00|HU
Asinou|TS12|SU1357|7.00|LU
Asinou|TS12|SU1357|2.00|TW
Asinou|TS12|SU1358|2.00|Ar
Asinou|TS12|SU1358|1.00|CW
Asinou|TS12|SU1358|8.00|LU
Asinou|TS12|SU1358|2.00|TW
Asinou|TS12|SU1359|1.00|HU
Asinou|TS12|SU1359|3.00|LU
Asinou|TS17|SU1360|3.00|Ar
Asinou|TS17|SU1360|24.00|HU
Asinou|TS17|SU1360|11.00|LU
Asinou|TS17|SU1360|2.00|TW
Asinou|TS08|SU1361|6.00|Ar
Asinou|TS08|SU1361|5.00|HU
Asinou|TS08|SU1361|3.00|LU
Asinou|TS08|SU1361|5.00|TW
Asinou|TS08|SU1362|6.00|HU
Asinou|TS08|SU1362|5.00|LU
Asinou|TS08|SU1362|1.00|TW
Asinou|TS08|SU1363|5.00|Ar
Asinou|TS08|SU1363|3.00|HU
Asinou|TS08|SU1363|9.00|LU
Asinou|TS08|SU1363|1.00|TW
Asinou|TS08|SU1364|3.00|Ar
Asinou|TS08|SU1364|1.00|CW
Asinou|TS08|SU1364|6.00|HU
Asinou|TS08|SU1364|6.00|LU
Asinou|TS08|SU1364|2.00|TW
Asinou|TS08|SU1365|5.00|Ar
Asinou|TS08|SU1365|13.00|HU
Asinou|TS08|SU1365|21.00|LU
Asinou|TS08|SU1365|9.00|TW
Asinou|TS08|SU1366|6.00|Ar
Asinou|TS08|SU1366|1.00|CW
Asinou|TS08|SU1366|6.00|HU
Asinou|TS08|SU1366|15.00|LU
Asinou|TS08|SU1366|4.00|TW
Asinou|TS12|SU1367|1.00|HU
Asinou|TS12|SU1368|1.00|Ar
Asinou|TS12|SU1368|1.00|CW
Asinou|TS12|SU1368|1.00|LU
Asinou|TS12|SU1369|1.00|CW
Asinou|TS12|SU1369|1.00|HU
Asinou|TS12|SU1369|9.00|LU
Asinou|TS12|SU1370|1.00|HU
Asinou|TS12|SU1370|1.00|LU
Asinou|TS08|SU1371|13.00|Ar
Asinou|TS08|SU1371|10.00|HU
Asinou|TS08|SU1371|11.00|LU
Asinou|TS08|SU1371|1.00|TW
Mandres||SU1372|2.00|HU
Mandres||SU1372|17.00|LU
Mandres||SU1372|2.00|TW
Mandres||SU1377|1.00|LU
Mandres|TS07|SU1379|1.00|LU
Mandres|TS07|SU1379|5.00|TW
Mandres|TS07|SU1379|2.00|U
Mandres|TS07|SU1380|2.00|CW
Mandres|TS07|SU1380|1.00|HU
Mandres|TS07|SU1380|3.00|LU
Mandres|TS07|SU1380|1.00|TW
Mandres|TS07|SU1381|19.00|CW
Mandres|TS07|SU1381|20.00|HU
Mandres|TS07|SU1381|28.00|LU
Mandres|TS07|SU1381|4.00|TW
Mandres|TS07|SU1382|1.00|Ar
Mandres|TS07|SU1382|5.00|CW
Mandres|TS07|SU1382|24.00|HU
Mandres|TS07|SU1382|20.00|LU
Mandres|TS07|SU1383|4.00|CW
Mandres|TS07|SU1383|26.00|HU
Mandres|TS07|SU1383|34.00|LU
Mandres|TS07|SU1383|1.00|Tr
Mandres|TS07|SU1383|3.00|TW
Mandres|TS07|SU1384|1.00|Ar
Mandres|TS07|SU1384|6.00|HU
Mandres|TS07|SU1384|4.00|LU
Mandres|TS07|SU1384|2.00|TW
Mandres|TS07|SU1385|1.00|CW
Mandres|TS07|SU1385|1.00|HU
Mandres|TS07|SU1385|3.00|LU
Mandres|TS07|SU1386|1.00|CW
Mandres|TS07|SU1386|5.00|HU
Mandres|TS07|SU1387|2.00|CW
Mandres|TS07|SU1387|2.00|HU
Mandres|TS07|SU1387|2.00|LU
Mandres|TS07|SU1387|1.00|TW
Mandres|TS07|SU1388|3.00|LU
Karkotis|TS11|SU1602|3.00|Ar
Karkotis|TS11|SU1602|3.00|HU
Karkotis|TS11|SU1602|5.00|LU
Karkotis|TS11|SU1603|9.00|Ar
Karkotis|TS11|SU1603|1.00|HU
Karkotis|TS11|SU1603|3.00|LU
Karkotis|TS11|SU1604|3.00|Ar
Karkotis|TS11|SU1604|4.00|HU
Karkotis|TS11|SU1604|3.00|LU
Karkotis|TS11|SU1605|28.00|Ar
Karkotis|TS11|SU1605|7.00|CW
Karkotis|TS11|SU1605|38.00|HU
Karkotis|TS11|SU1605|23.00|LU
Karkotis|TS11|SU1605|1.00|Tr
Karkotis|TS11|SU1605|15.00|TW
Xyliatos||SU1606|1.00|LU
Xyliatos||SU1607|1.00|HU
Xyliatos||SU1609|2.00|TW
Xyliatos||SU1617|1.00|Ar
Xyliatos||SU1618|1.00|LU
Xyliatos||SU1618|1.00|TW
Xyliatos|TS02|SU1620|17.00|Ar
Xyliatos|TS02|SU1620|19.00|HU
Xyliatos|TS02|SU1620|53.00|LU
Xyliatos|TS02|SU1620|2.00|Tr
Xyliatos|TS02|SU1620|11.00|TW
Xyliatos|TS02|SU1621|6.00|Ar
Xyliatos|TS02|SU1621|4.00|CW
Xyliatos|TS02|SU1621|7.00|HU
Xyliatos|TS02|SU1621|23.00|LU
Xyliatos|TS02|SU1621|3.00|TW
Xyliatos|TS02|SU1622|6.00|Ar
Xyliatos|TS02|SU1622|4.00|CW
Xyliatos|TS02|SU1622|13.00|HU
Xyliatos|TS02|SU1622|18.00|LU
Xyliatos|TS02|SU1622|1.00|TW
Xyliatos|TS02|SU1623|9.00|Ar
Xyliatos|TS02|SU1623|10.00|CW
Xyliatos|TS02|SU1623|22.00|HU
Xyliatos|TS02|SU1623|21.00|LU
Xyliatos|TS02|SU1623|5.00|TW
Xyliatos|TS02|SU1624|6.00|HU
Xyliatos|TS02|SU1624|3.00|LU
Xyliatos|TS02|SU1624|2.00|TW
Xyliatos|TS02|SU1625|7.00|HU
Xyliatos|TS02|SU1625|7.00|LU
Xyliatos|TS02|SU1625|1.00|TW
Xyliatos|TS02|SU1626|3.00|Ar
Xyliatos|TS02|SU1626|2.00|CW
Xyliatos|TS02|SU1626|13.00|HU
Xyliatos|TS02|SU1626|36.00|LU
Xyliatos|TS02|SU1626|6.00|TW
Xyliatos|TS02|SU1628|4.00|CW
Xyliatos|TS02|SU1628|6.00|HU
Xyliatos|TS02|SU1628|13.00|LU
Xyliatos|TS02|SU1628|1.00|TW
Xyliatos|TS02|SU1629|1.00|Ar
Xyliatos|TS02|SU1629|15.00|CW
Xyliatos|TS02|SU1629|7.00|HU
Xyliatos|TS02|SU1629|6.00|LU
Xyliatos|TS02|SU1629|4.00|TW
Xyliatos|TS02|SU1630|3.00|Ar
Xyliatos|TS02|SU1630|3.00|CW
Xyliatos|TS02|SU1630|8.00|HU
Xyliatos|TS02|SU1630|4.00|LU
Xyliatos|TS02|SU1631|1.00|Ar
Xyliatos|TS02|SU1631|9.00|CW
Xyliatos|TS02|SU1631|6.00|HU
Xyliatos|TS02|SU1631|11.00|LU
Xyliatos|TS02|SU1631|1.00|TW
Xyliatos|TS02|SU1632|3.00|CW
Xyliatos|TS02|SU1632|3.00|HU
Xyliatos|TS02|SU1632|24.00|LU
Xyliatos|TS02|SU1632|4.00|TW
Xyliatos|TS02|SU1633|5.00|CW
Xyliatos|TS02|SU1633|3.00|HU
Xyliatos|TS02|SU1633|6.00|LU
Xyliatos|TS02|SU1634|5.00|Ar
Xyliatos|TS02|SU1634|18.00|CW
Xyliatos|TS02|SU1634|11.00|HU
Xyliatos|TS02|SU1634|18.00|LU
Xyliatos|TS02|SU1634|1.00|Tr
Xyliatos|TS02|SU1634|12.00|TW
Xyliatos|TS02|SU1635|2.00|HU
Xyliatos|TS02|SU1635|5.00|LU
Xyliatos|TS02|SU1635|1.00|TW
Xyliatos|TS02|SU1636|1.00|CW
Xyliatos|TS02|SU1636|4.00|HU
Xyliatos|TS02|SU1636|10.00|LU
Xyliatos|TS02|SU1636|1.00|TW
Xyliatos|TS02|SU1637|3.00|CW
Xyliatos|TS02|SU1637|4.00|HU
Xyliatos|TS02|SU1637|10.00|LU
Xyliatos|TS02|SU1637|2.00|TW
Xyliatos|TS02|SU1638|4.00|CW
Xyliatos|TS02|SU1638|3.00|HU
Xyliatos|TS02|SU1638|6.00|LU
Xyliatos|TS02|SU1638|1.00|TW
Xyliatos|TS02|SU1639|2.00|Ar
Xyliatos|TS02|SU1639|4.00|CW
Xyliatos|TS02|SU1639|14.00|HU
Xyliatos|TS02|SU1639|8.00|LU
Xyliatos|TS02|SU1639|6.00|TW
Xyliatos|TS02|SU1640|3.00|CW
Xyliatos|TS02|SU1640|7.00|HU
Xyliatos|TS02|SU1640|3.00|LU
Xyliatos|TS02|SU1640|1.00|TW
Xyliatos|TS02|SU1641|1.00|CW
Xyliatos|TS02|SU1641|6.00|HU
Xyliatos|TS02|SU1641|11.00|LU
Xyliatos|TS02|SU1641|2.00|TW
Xyliatos|TS02|SU1642|1.00|Ar
Xyliatos|TS02|SU1642|1.00|HU
Xyliatos|TS02|SU1642|6.00|LU
Xyliatos|TS02|SU1643|4.00|CW
Xyliatos|TS02|SU1643|4.00|HU
Xyliatos|TS02|SU1643|2.00|LU
Xyliatos|TS02|SU1643|1.00|Un
Xyliatos|TS02|SU1644|4.00|HU
Xyliatos|TS02|SU1644|3.00|LU
Xyliatos|TS02|SU1644|1.00|TW
Xyliatos|TS02|SU1645|1.00|CW
Xyliatos|TS02|SU1645|3.00|HU
Xyliatos|TS02|SU1645|7.00|LU
Xyliatos|TS02|SU1645|2.00|TW
Xyliatos|TS02|SU1646|7.00|Ar
Xyliatos|TS02|SU1646|3.00|CW
Xyliatos|TS02|SU1646|17.00|HU
Xyliatos|TS02|SU1646|22.00|LU
Xyliatos|TS02|SU1646|1.00|Tr
Xyliatos|TS02|SU1646|5.00|TW
Xyliatos|TS02|SU1646|1.00|Un
Xyliatos|TS02|SU1647|3.00|Ar
Xyliatos|TS02|SU1647|31.00|CW
Xyliatos|TS02|SU1647|37.00|HU
Xyliatos|TS02|SU1647|27.00|LU
Xyliatos|TS02|SU1647|5.00|TW
Xyliatos|TS02|SU1648|1.00|Ar
Xyliatos|TS02|SU1648|2.00|CW
Xyliatos|TS02|SU1648|11.00|HU
Xyliatos|TS02|SU1648|26.00|LU
Xyliatos|TS02|SU1648|4.00|TW
Xyliatos|TS02|SU1649|1.00|Ar
Xyliatos|TS02|SU1649|1.00|CW
Xyliatos|TS02|SU1649|4.00|HU
Xyliatos|TS02|SU1649|18.00|LU
Xyliatos|TS02|SU1649|4.00|TW
Xyliatos|TS02|SU1650|1.00|Ar
Xyliatos|TS02|SU1650|1.00|CW
Xyliatos|TS02|SU1650|5.00|HU
Xyliatos|TS02|SU1650|17.00|LU
Xyliatos|TS02|SU1650|6.00|TW
Xyliatos|TS02|SU1651|1.00|Ar
Xyliatos|TS02|SU1651|8.00|CW
Xyliatos|TS02|SU1651|6.00|HU
Xyliatos|TS02|SU1651|30.00|LU
Xyliatos|TS02|SU1651|2.00|TW
Xyliatos|TS10|SU1652|2.00|Ar
Xyliatos|TS10|SU1652|3.00|CW
Xyliatos|TS10|SU1652|2.00|HU
Xyliatos|TS10|SU1652|7.00|LU
Xyliatos|TS10|SU1652|1.00|TW
Xyliatos|TS10|SU1653|1.00|HU
Xyliatos|TS10|SU1653|3.00|LU
Xyliatos|TS10|SU1653|1.00|TW
Xyliatos|TS10|SU1654|2.00|Ar
Xyliatos|TS10|SU1654|3.00|CW
Xyliatos|TS10|SU1654|2.00|HU
Xyliatos|TS10|SU1654|2.00|LU
Xyliatos|TS10|SU1654|1.00|TW
Xyliatos|TS10|SU1655|2.00|CW
Xyliatos|TS10|SU1655|1.00|HU
Xyliatos|TS10|SU1655|6.00|LU
Xyliatos|TS10|SU1655|1.00|TW
Xyliatos|TS10|SU1655|1.00|U
Xyliatos|TS10|SU1656|4.00|Ar
Xyliatos|TS10|SU1656|4.00|HU
Xyliatos|TS10|SU1656|6.00|LU
Xyliatos|TS10|SU1656|1.00|TW
Xyliatos|TS10|SU1657|3.00|Ar
Xyliatos|TS10|SU1657|3.00|HU
Xyliatos|TS10|SU1657|2.00|LU
Xyliatos|TS10|SU1657|2.00|TW
Xyliatos|TS10|SU1658|6.00|Ar
Xyliatos|TS10|SU1658|3.00|CW
Xyliatos|TS10|SU1658|2.00|HU
Xyliatos|TS10|SU1658|1.00|LU
Xyliatos|TS10|SU1658|4.00|TW
Xyliatos|TS10|SU1659|1.00|TW
Xyliatos|TS10|SU1660|1.00|Ar
Xyliatos|TS10|SU1660|4.00|LU
Xyliatos|TS10|SU1661|1.00|Ar
Xyliatos|TS10|SU1661|4.00|CW
Xyliatos|TS10|SU1661|5.00|HU
Xyliatos|TS10|SU1661|4.00|LU
Xyliatos|TS10|SU1661|2.00|TW
Xyliatos|TS10|SU1662|2.00|Ar
Xyliatos|TS10|SU1662|1.00|CW
Xyliatos|TS10|SU1662|1.00|HU
Xyliatos|TS10|SU1662|3.00|LU
Xyliatos|TS10|SU1663|3.00|HU
Xyliatos|TS10|SU1663|6.00|LU
Xyliatos|TS10|SU1664|1.00|Ar
Xyliatos|TS10|SU1664|3.00|CW
Xyliatos|TS10|SU1664|3.00|HU
Xyliatos|TS10|SU1664|5.00|LU
Xyliatos|TS10|SU1664|1.00|TW
Xyliatos|TS10|SU1665|7.00|LU
Xyliatos|TS10|SU1665|2.00|TW
Xyliatos|TS10|SU1666|5.00|Ar
Xyliatos|TS10|SU1666|3.00|HU
Xyliatos|TS10|SU1666|8.00|LU
Xyliatos|TS10|SU1666|1.00|TW
Xyliatos||SU1667|1.00|Ar
Xyliatos||SU1667|3.00|HU
Xyliatos||SU1667|1.00|TW
Xyliatos||SU1668|7.00|LU
Xyliatos||SU1669|3.00|Ar
Xyliatos||SU1669|1.00|CW
Xyliatos||SU1669|1.00|LU
Xyliatos||SU1670|1.00|CW
Xyliatos||SU1671|1.00|Ar
Xyliatos||SU1671|1.00|HU
Xyliatos||SU1673|1.00|CW
Xyliatos||SU1673|2.00|HU
Xyliatos||SU1673|1.00|LU
Xyliatos|TS10|SU1676|2.00|Ar
Xyliatos|TS10|SU1676|3.00|HU
Xyliatos|TS10|SU1676|27.00|LU
Xyliatos|TS10|SU1676|6.00|TW
Xyliatos|TS10|SU1677|2.00|CW
Xyliatos|TS10|SU1677|1.00|HU
Xyliatos|TS10|SU1677|1.00|LU
Xyliatos|TS10|SU1677|3.00|TW
Xyliatos|TS10|SU1679|1.00|LU
Xyliatos|TS10|SU1679|2.00|TW
Xyliatos|TS10|SU1680|10.00|LU
Xyliatos|TS10|SU1680|1.00|TW
Xyliatos|TS10|SU1682|1.00|LU
Xyliatos|TS10|SU1683|3.00|HU
Xyliatos|TS10|SU1684|7.00|Ar
Xyliatos|TS10|SU1684|5.00|CW
Xyliatos|TS10|SU1684|19.00|HU
Xyliatos|TS10|SU1684|7.00|LU
Xyliatos|TS10|SU1685|1.00|Ar
Xyliatos|TS10|SU1685|4.00|HU
Xyliatos|TS10|SU1685|2.00|LU
Xyliatos|TS10|SU1686|1.00|TW
Xyliatos|TS10|SU1687|1.00|Ar
Xyliatos|TS10|SU1687|2.00|CW
Xyliatos|TS10|SU1687|3.00|HU
Xyliatos|TS10|SU1687|3.00|LU
Xyliatos|TS10|SU1688|3.00|Ar
Xyliatos|TS10|SU1688|4.00|CW
Xyliatos|TS10|SU1688|5.00|HU
Xyliatos|TS10|SU1688|12.00|LU
Xyliatos|TS10|SU1688|1.00|TW
Xyliatos|TS10|SU1689|2.00|Ar
Xyliatos|TS10|SU1689|1.00|CW
Xyliatos|TS10|SU1689|3.00|HU
Xyliatos|TS10|SU1689|4.00|LU
Xyliatos|TS10|SU1689|1.00|TW
Xyliatos|TS02|SU1690|1.00|CW
Xyliatos|TS02|SU1692|1.00|HU
Xyliatos|TS02|SU1693|1.00|HU
Xyliatos|TS02|SU1693|6.00|LU
Xyliatos|TS02|SU1693|1.00|TW
Xyliatos|TS02|SU1696|1.00|CW
Xyliatos|TS02|SU1696|1.00|LU
Xyliatos|TS02|SU1697|3.00|Ar
Xyliatos|TS02|SU1697|12.00|LU
Xyliatos|TS02|SU1697|1.00|TW
Xyliatos|TS02|SU1698|2.00|CW
Xyliatos|TS02|SU1698|1.00|LU
Xyliatos|TS02|SU1699|5.00|HU
Xyliatos|TS02|SU1699|31.00|LU
Xyliatos|TS02|SU1699|3.00|TW
Xyliatos|TS02|SU1700|2.00|HU
Xyliatos|TS02|SU1700|19.00|LU
Xyliatos|TS02|SU1700|2.00|TW
Xyliatos|TS02|SU1701|1.00|CW
Xyliatos|TS02|SU1701|15.00|HU
Xyliatos|TS02|SU1701|2.00|LU
Xyliatos|TS02|SU1701|4.00|TW
Xyliatos|TS02|SU1702|1.00|HU
Xyliatos|TS02|SU1702|31.00|LU
Xyliatos|TS02|SU1702|3.00|TW
Xyliatos|TS02|SU1703|1.00|CW
Xyliatos|TS02|SU1703|4.00|HU
Xyliatos|TS02|SU1703|1.00|TW
Xyliatos|TS02|SU1704|5.00|HU
Xyliatos|TS02|SU1704|4.00|LU
Xyliatos|TS02|SU1704|2.00|TW
Xyliatos|TS02|SU1705|2.00|CW
Xyliatos|TS02|SU1705|5.00|HU
Xyliatos|TS02|SU1705|13.00|LU
Xyliatos|TS02|SU1705|1.00|TW
Xyliatos|TS02|SU1706|1.00|CW
Xyliatos|TS02|SU1706|1.00|HU
Xyliatos|TS02|SU1706|15.00|LU
Xyliatos|TS02|SU1706|2.00|TW
Xyliatos|TS02|SU1707|3.00|CW
Xyliatos|TS02|SU1707|8.00|HU
Xyliatos|TS02|SU1707|24.00|LU
Xyliatos|TS02|SU1707|1.00|TW
Xyliatos|TS02|SU1708|3.00|CW
Xyliatos|TS02|SU1708|7.00|LU
Xyliatos|TS02|SU1708|1.00|TW
Xyliatos|TS02|SU1709|16.00|LU
Xyliatos|TS02|SU1709|1.00|TW
Xyliatos|TS02|SU1710|8.00|HU
Xyliatos|TS02|SU1710|10.00|TW
Extensive||SU1908|2.00|Ar
Extensive||SU1908|1.00|CW
Extensive||SU1908|4.00|HU
Extensive||SU1908|2.00|LU
Extensive||SU1908|5.00|TW
Extensive||SU1909|1.00|Ar
Extensive||SU1909|3.00|LU
Extensive||SU1909|1.00|TW
Extensive||SU1910|1.00|LU
Extensive||SU1911|2.00|HU
Extensive||SU1911|8.00|LU
Extensive||SU1911|1.00|TW
Atsas||SU1914|4.00|HU
Atsas||SU1915|1.00|Ar
Atsas||SU1915|6.00|CW
Atsas||SU1915|22.00|HU
Atsas||SU1915|33.00|LU
Atsas||SU1915|12.00|TW
Atsas||SU1916|4.00|HU
Atsas||SU1916|19.00|LU
Atsas||SU1916|1.00|TW
Atsas||SU1917|1.00|Ar
Atsas||SU1917|2.00|CW
Atsas||SU1917|14.00|HU
Atsas||SU1917|21.00|LU
Atsas||SU1917|3.00|TW
Atsas||SU1917|1.00|Un
Atsas||SU1918|2.00|Ar
Atsas||SU1918|1.00|CW
Atsas||SU1918|17.00|HU
Atsas||SU1918|34.00|LU
Atsas||SU1918|4.00|Tr
Atsas||SU1918|5.00|TW
Atsas||SU1919|4.00|Ar
Atsas||SU1919|3.00|HU
Atsas||SU1919|5.00|LU
Atsas||SU1920|2.00|Ar
Atsas||SU1920|3.00|HU
Atsas||SU1920|7.00|LU
Atsas||SU1920|1.00|TW
Karkotis|TS04|SU2001|10.00|HU
Karkotis|TS04|SU2001|10.00|LU
Karkotis|TS04|SU2001|2.00|TW
Karkotis|TS04|SU2002|5.00|Ar
Karkotis|TS04|SU2002|2.00|CW
Karkotis|TS04|SU2002|19.00|HU
Karkotis|TS04|SU2002|12.00|LU
Karkotis|TS04|SU2002|14.00|TW
Karkotis|TS04|SU2002|5.00|U
Karkotis|TS04|SU2003|4.00|Ar
Karkotis|TS04|SU2003|10.00|CW
Karkotis|TS04|SU2003|22.00|HU
Karkotis|TS04|SU2003|35.00|LU
Karkotis|TS04|SU2003|1.00|Tr
Karkotis|TS04|SU2003|8.00|TW
Karkotis|TS04|SU2004|7.00|Ar
Karkotis|TS04|SU2004|7.00|CW
Karkotis|TS04|SU2004|32.00|HU
Karkotis|TS04|SU2004|25.00|LU
Karkotis|TS04|SU2004|1.00|Tr
Karkotis|TS04|SU2004|9.00|TW
Karkotis|TS04|SU2005|2.00|Ar
