ISZ|SIANo|SUNo|SumOfNoPiece|Func
Karkotis|TS09|SU0077|3.00|TW
Karkotis|TS09|SU0078|2.00|Ar
Karkotis|TS09|SU0078|39.00|HU
Karkotis|TS09|SU0078|68.00|LU
Karkotis|TS09|SU0078|27.00|TW
Karkotis||SU0079|1.00|CW
Karkotis||SU0079|2.00|HU
Karkotis||SU0081|8.00|Ar
Karkotis||SU0081|6.00|CW
Karkotis||SU0081|47.00|HU
Karkotis||SU0081|69.00|LU
Karkotis||SU0081|41.00|TW
Karkotis|TS04|SU0082|11.00|Ar
Karkotis|TS04|SU0082|7.00|CW
Karkotis|TS04|SU0082|36.00|HU
Karkotis|TS04|SU0082|24.00|LU
Karkotis|TS04|SU0082|12.00|TW
Karkotis|TS04|SU0083|3.00|Ar
Karkotis|TS04|SU0083|1.00|CW
Karkotis|TS04|SU0083|18.00|HU
Karkotis|TS04|SU0083|19.00|LU
Karkotis|TS04|SU0083|1.00|Tr
Karkotis|TS04|SU0083|3.00|TW
Karkotis|TS04|SU0084|6.00|Ar
Karkotis|TS04|SU0084|6.00|CW
Karkotis|TS04|SU0084|39.00|HU
Karkotis|TS04|SU0084|30.00|LU
Karkotis|TS04|SU0084|32.00|TW
Karkotis|TS04|SU0084|2.00|U
Karkotis||SU0085|6.00|Ar
Karkotis||SU0085|5.00|CW
Karkotis||SU0085|23.00|HU
Karkotis||SU0085|14.00|LU
Karkotis||SU0085|8.00|TW
Karkotis|TS11|SU0087|5.00|Ar
Karkotis|TS11|SU0087|1.00|CW
Karkotis|TS11|SU0087|10.00|HU
Karkotis|TS11|SU0087|6.00|LU
Karkotis|TS11|SU0088|4.00|Ar
Karkotis|TS11|SU0088|4.00|CW
Karkotis|TS11|SU0088|15.00|HU
Karkotis|TS11|SU0088|3.00|LU
Karkotis|TS11|SU0088|10.00|TW
Karkotis|TS11|SU0089|7.00|Ar
Karkotis|TS11|SU0089|15.00|HU
Karkotis|TS11|SU0089|2.00|LU
