SUNo|Ar|CW|HU|LU|PO|Tr|TW|U|Un
SU0619|||1.86|3.72|||8.69||
SU0620|0.63|||1.26|||0.95||
SU0621|2.77||||||0.92||
SU0622|||||||3.78||
SU0623|1.95|||3.91|||2.93||
SU0626|9.47|||1.05|||14.73||
SU0627|||||||2.77||
SU0628|1.37||||||||
SU0629|3.07||||||||
SU0630|||1.82||||||
SU0631|6.91|||1.38|||1.38||
SU0632|||1.94||||3.24||
SU0633|2.53||0.50||||2.02||
SU0634|||||||3.37||
SU0636|||0.65||||||
SU0637|1.27|||0.25|||0.25||
SU0638|5.55||||||5.55||
SU0639|10.39|5.19|12.99|44.19|||18.19||
Su0640|1.45|||4.37|||4.37||
SU0652||||0.10|||||
SU0658||0.31|||||||
SU0659||1.84||1.84|||2.76||
SU0660|1.10|0.73||4.05|||1.84||
SU0661||0.95|1.91|19.14|||2.87||
SU1002|3.73||14.01|4.67|||4.67||
SU1003|||3.14|6.29|||||
SU1004|1.68|0.84|2.52|11.79|||3.37||
SU1006|||0.32|0.81|||0.32||
SU1007|1.64|0.32|0.82|0.49|||1.64||
SU1008|4.84|||0.88|||||
SU1009|3.42|1.71|||||0.28||
SU1010|3.66|1.57|||||1.04||
SU1011|2.75|2.20||1.65|||4.95||
SU1012|0.30||0.60|3.90|||||
SU1013|||0.26|0.26|||0.13||
SU1014||||0.22|||0.11||
SU1015|9.14|4.57|8.23|10.97|||3.65||
SU1016|1.81|3.89|0.51|0.77|||1.81||
SU1017|1.09|0.36||1.46|||1.09||
SU1018|1.19||0.29|0.59|||0.89||
SU1019|0.44||0.22||||||
SU1020|0.57|1.15|2.01|2.58|||0.57||
SU1021|||0.37|0.37|||||
SU1022||||1.76|||1.17||
SU1023|||1.06|1.59|||||
SU1024||0.47|0.94|2.35|||1.88||
SU1025|||0.42|2.12|||0.42||
SU1026|0.32||0.32|1.93|||2.25||
SU1027|0.41||2.93|2.93|||1.25||
SU1028|0.36|0.72|2.54|5.09|||1.45||
SU1029||3.15||3.15|||1.57||
SU1030||0.58||16.41|||||
SU1031||0.92|2.76||||1.84||
SU1032|1.12||0.56|1.12|||0.56||
