SUNo|Ar|CW|HU|La|LU|PO|Tr|TW
SU2603|5.24|12.23|||1.74||1.74|1.74
SU2604|31.73|40.20|6.34||2.11||27.50|14.81
SU2605|91.39|166.17|58.16||16.61||41.54|116.32
SU2606|48.46|83.07|6.92||13.84|||6.92
SU2608||4.21||||||
SU2612||||0.49||||
SU2613||0.37||||||
SU2614||0.67||||||
SU2617|0.19|||||||
SU2619||0.26||||||0.52
SU2620|0.10|0.10||||||
SU2621|0.24|0.24||||||
SU2632|36.90|101.00|31.07||5.82||3.88|60.21
SU2633|1.66|5.54|||0.55|||3.32
SU2634|4.55|6.50|1.30|||||11.05
SU2635|12.91|14.52|||||0.80|20.98
SU2636|0.32|1.29||||||1.29
SU2637|28.45|21.34|14.22|||||14.22
SU2638|28.05|4.00|||4.00|||16.02
SU2639|20.26|14.18|2.02||4.05||2.02|14.18
SU2640|8.55|13.68||||||17.10
SU2641|32.21|37.17|9.91|||2.47|4.95|24.78
SU2642|34.59|29.98|9.22||||9.22|13.83
SU2643|14.01|18.68|4.67||||11.67|9.34
SU2644|18.48|18.48|3.69|||||
SU2645|10.94|27.35|5.47||||5.47|21.88
SU2646||||||||0.68
SU2647||3.30||||||
SU2648|90.95|62.97|6.99||||48.97|83.96
SU2649||3.04||||||
SU2651||2.53||||||1.26
SU2652|6.71|1.34||||||1.34
SU2653|7.68|7.68|||1.09|||4.38
SU2654|2.56|3.42||||||0.85
SU2655|16.59|13.27||||||19.91
SU2656|15.96|34.20||||||2.28
SU2657|26.05|40.27||2.36||||21.32
SU2658|9.64|28.94|||||3.21|22.50
SU2659|75.45|63.85|11.60|||||40.63
SU2660|37.94|25.29||4.21||||21.07
SU2907||0.11||||||0.11
SU2908||0.47||||||0.23
SU2909|0.10|||||||
SU2914||0.16||||||
SU2915||||||||0.13
SU2916||0.17||||||0.17
SU2928||||||||0.31
SU2944||0.19||||||
SU2945||0.08||||||
SU2964|0.47|0.47||||||
SU3013|0.08|||||||
SU3016||0.53||||||0.53
SU3017||||0.14||||0.14
SU3018||1.31||||||0.52
SU3019||0.29||||||
SU3025||0.05||||||0.05
SU3026|0.06|||||||
SU3028||||||||0.12
SU3033||1.50||||||3.00
SU3034||3.36|0.24||||0.48|1.20
SU3035||0.76|||||0.17|0.34
SU3036||4.63|0.30||||1.85|2.16
SU3037|0.50|2.01|0.50||||0.50|4.02
SU3038||4.70|1.41||||1.41|1.88
SU3039||2.22|0.83||0.27||0.83|0.83
SU3040||1.97|0.17||||0.71|1.25
SU3041||0.45|0.15|||||0.30
SU3042||0.15|0.15|||||0.15
SU3043||0.08||||||0.25
SU3044||0.74|||0.18|||0.37
SU3045||0.09|||||0.09|0.19
SU3046||0.16|||||0.08|0.12
SU3047||0.18||||||
SU3048||0.03||||||
SU3050||0.03||||||
SU3053||||||||0.05
SU3055||0.04||||||
SU3056||0.10||||||
SU3057||0.58|||||0.14|0.72
SU3058||||||||0.21
SU3059||||||||0.02
SU3060||||||||0.02
SU3061||0.05||||||
SU3063||0.03||||||
SU3067||0.13||||||
SU3068||0.07||||||
SU3069||0.55|0.07|||||0.07
SU3070|0.16|1.45|0.16|||||0.97
SU3071||3.40|0.52||||1.57|1.30
SU3072||2.37|||||0.29|0.29
SU3073|0.35|2.51|1.07|||||1.79
SU3074||4.26|1.55||||1.16|5.42
SU3075|0.67|2.02|||||0.33|1.34
SU3076||0.61|||0.20|||1.64
SU3077||0.47||||||0.15
SU3078||||||||0.11
SU3079||0.06||||||
SU3081||0.50||||||0.20
SU3082||0.07|||||0.07|
SU3083||0.08||||||
SU3085|||||0.08|||
SU3088||0.77||||||0.51
SU3089||0.60||||||0.24
SU3092||0.21||||||0.10
SU3093||0.15||||||
SU3094||0.33|||||0.16|0.49
SU3097||||||||0.54
SU3098||1.59||||||0.19
SU3099||0.17|||||0.05|0.17
SU3100||0.24||||||0.24
