SUNo|Dho|NotDho
SU1352||0.13
SU1372||0.07
SU1374||1.38
SU1379||0.06
SU1380||0.31
SU1381|0.12|0.87
SU1382||0.04
SU1382||0.08
SU1383||0.40
SU1384|0.06|
SU1602||0.14
SU1602||0.29
SU1604||0.26
SU1605||0.42
SU1605||0.28
SU1605||0.70
SU1607||0.10
SU1610||0.11
SU1612||0.13
SU1613||0.32
SU1623|0.18|
SU1623||0.36
SU1624||1.17
SU1625||0.72
SU1626||0.85
SU1627||0.43
SU1629||0.31
SU1630||0.84
SU1630||2.52
SU1631|0.30|0.30
SU1632||1.36
SU1633||0.29
SU1634||0.22
SU1638||1.52
SU1639|0.39|0.78
SU1640||2.42
SU1642||0.73
SU1647||0.81
SU1648||4.79
SU1648||1.36
SU1649||1.40
SU1649||2.80
SU1649||2.10
SU1650||1.34
SU1651||1.19
SU1651||1.78
SU1651|0.89|0.89
SU1651||2.08
SU1651||2.68
SU1652||0.47
SU1652||0.47
SU1652||1.19
SU1653||1.30
SU1654||1.71
SU1654||0.85
SU1654||1.28
SU1655||1.04
SU1655||3.13
SU1656||0.54
SU1656||3.80
SU1657||0.81
SU1657||1.22
SU1657||3.26
SU1658|0.13|0.40
SU1658||0.26
SU1659||0.58
SU1660||2.00
SU1661||0.47
SU1662||0.25
SU1666||0.81
SU1667||0.10
SU1668||0.29
SU1668||0.29
SU1669|0.08|0.08
SU1669||0.16
SU1673||0.78
SU1676||0.60
SU1676||0.20
SU1676||0.30
SU1677|0.10|0.31
SU1677||0.63
SU1677||0.31
SU1677||0.52
SU1677||1.27
SU1679||0.08
SU1680||0.09
SU1687|0.33|
SU1688||1.15
SU1690||2.00
SU1690||4.00
SU1690||2.50
SU1691||1.99
SU1691||1.49
SU1691||3.99
SU1692||0.37
SU1692||1.13
SU1693||0.60
SU1693||0.40
SU1694||2.62
SU1694||3.50
SU1695||1.37
SU1695||0.91
SU1695||0.68
SU1696||0.52
SU1697||0.17
SU1697||0.70
SU1697||0.52
SU1697||1.23
SU1698||0.24
SU1698||0.72
SU1699||1.43
SU1700||0.31
SU1700||0.63
SU1702||0.52
SU1703||0.38
SU1706|0.21|0.21
SU1707||0.77
SU1708||0.63
SU1708||1.27
SU1709||0.88
SU1908||0.45
SU1911||0.15
SU1913||0.13
SU1915||0.19
SU1920|0.13|
SU2012||0.10
SU2012||1.09
SU2016||0.06
SU2016|0.18|
SU2017|0.07|0.21
SU2024|0.14|0.14
SU2027||0.15
SU2028||1.08
SU2028||0.65
SU2029||1.62
SU2029||0.65
SU2030||0.33
SU2030||0.33
SU2031||0.37
SU2033||0.20
SU2034||0.24
SU2034||0.73
SU2034||0.36
SU2037||0.18
SU2037||0.27
SU2042||0.19
SU2050||0.32
SU2052||0.13
SU2053||0.09
SU2056||0.23
SU2056||0.23
SU2057||0.12
SU2058||0.07
SU2064|0.12|0.12
SU2066||0.12
SU2068||0.18
SU2069||0.47
SU2070|0.10|0.10
SU2078||0.10
SU2078||0.31
SU2082||0.47
SU2085||0.29
SU2085||0.29
SU2096||0.03
SU2104||0.41
SU2104||0.27
SU2104||1.92
SU2105||0.07
SU2117||0.03
SU2131||0.53
SU2134||0.16
SU2135||0.15
SU2138||0.09
SU2139||0.19
SU2148||0.10
SU2172||0.04
SU2173|0.04|0.04
SU2175||0.06
SU2176||0.27
SU2177||0.28
SU2178||0.09
SU2180||0.21
SU2182||0.07
SU2187||2.25
SU2187||1.12
SU2190||0.08
SU2384||0.08
SU2384||0.26
SU2385||0.19
SU2385||0.28
SU2385||0.48
SU2386||0.24
SU2386||1.21
SU2387||0.14
SU2387||0.28
SU2387||0.42
SU2388||0.26
SU2388||0.79
SU2389|0.12|0.24
SU2390||0.08
SU2390||0.17
SU2390||0.34
SU2601||0.35
SU2601||0.71
SU2601||2.13
SU2601||1.42
SU2601||4.27
SU2602||0.56
SU2603||1.01
SU2604|0.62|1.24
SU2632||1.00
SU2632||1.00
SU2633||0.18
SU2633||0.36
SU2634||0.15
SU2635||0.28
SU2641||0.50
SU2641||1.01
SU2901||0.32
SU2901||0.19
SU2904||0.35
SU2909||0.25
SU2909||0.16
SU2911||0.27
SU2913||0.31
SU2914||0.68
SU2915||0.20
SU2915||0.20
SU2915||0.50
SU2919||0.96
SU2919||1.44
SU2920||0.20
SU2921||0.49
SU2922||0.23
SU2924||0.14
SU2925|0.25|0.25
SU2937||0.12
SU2944||0.33
SU2944||0.24
SU2945||0.16
SU2962||0.05
SU2962||0.22
SU2964|0.14|0.14
SU3006||0.04
SU3008|0.14|
SU3016||0.06
SU3018||0.15
SU3023||0.09
SU3026||0.24
SU3026||0.18
SU3027||1.04
SU3027||0.69
SU3028||0.28
SU3032||0.21
SU3033||0.15
SU3034||0.45
SU3035||0.03
SU3036|0.07|0.28
SU3037||0.30
SU3038||0.15
SU3039||0.17
SU3044||0.07
SU3045||0.27
SU3046||0.08
SU3047||0.03
SU3047||0.07
SU3051||0.07
SU3053||0.05
SU3053||0.10
SU3054||0.05
SU3055||0.04
SU3056||0.16
SU3057||0.09
SU3058||0.26
SU3058||0.26
SU3059||0.04
SU3059||0.06
SU3060||0.07
SU3061||0.03
SU3062||0.08
SU3063||0.03
SU3064||0.03
SU3067||0.06
SU3070||0.09
SU3073||0.30
SU3074||0.47
SU3079|0.06|
SU3081|0.09|
SU3083|0.06|
SU3087||0.43
SU3097||0.16
SU3097||0.24
SU3100||0.19
SU3100||0.96
